id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,14.700000000000001,4.731534791258777,11.662740791549307,1.47,100,292,64
2,proxy2,12.450000000000005,5.082086466606571,20.812749570270796,1.245,100,265,58
3,proxy3,17.60000000000001,4.975236592569634,22.612888885671364,1.7599999999999991,100,352,79
4,proxy4,13.220000000000002,4.779975187097243,19.415686263389,1.322,100,272,57
5,proxy5,18.879999999999995,5.327505728565308,28.619746654148983,1.8879999999999988,100,342,77
6,proxy6,13.270000000000001,5.112324863355482,25.390492376246634,1.3270000000000002,100,290,65
7,proxy7,18.620000000000008,4.944577440960767,26.571798715798415,1.8619999999999999,100,301,73
8,proxy8,15.509999999999993,5.328759772457278,19.6946377827747,1.5509999999999993,100,292,75
9,proxy9,16.810000000000006,4.458436149382577,13.311034844373252,1.681,100,293,71
10,proxy10,19.170000000000005,6.285149422261259,11.079166318680322,1.9169999999999991,100,362,81
