Starting training...
Epoch 1/100, Train Loss: 0.5535, Validation Loss: 0.1725, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 2/100, Train Loss: 0.1326, Validation Loss: 0.1303, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 3/100, Train Loss: 0.1207, Validation Loss: 0.1190, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 4/100, Train Loss: 0.1090, Validation Loss: 0.1076, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 5/100, Train Loss: 0.0997, Validation Loss: 0.0986, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 6/100, Train Loss: 0.0903, Validation Loss: 0.0887, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 7/100, Train Loss: 0.0811, Validation Loss: 0.0800, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 8/100, Train Loss: 0.0722, Validation Loss: 0.0708, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 9/100, Train Loss: 0.0636, Validation Loss: 0.0619, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 10/100, Train Loss: 0.0552, Validation Loss: 0.0540, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 11/100, Train Loss: 0.0479, Validation Loss: 0.0491, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 12/100, Train Loss: 0.0419, Validation Loss: 0.0406, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 13/100, Train Loss: 0.0358, Validation Loss: 0.0360, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 14/100, Train Loss: 0.0325, Validation Loss: 0.0323, Train Accuracy: 0.9839, Validation Accuracy: 0.9831
Epoch 15/100, Train Loss: 0.0294, Validation Loss: 0.0299, Train Accuracy: 0.9877, Validation Accuracy: 0.9869
Epoch 16/100, Train Loss: 0.0273, Validation Loss: 0.0269, Train Accuracy: 0.9839, Validation Accuracy: 0.9831
Epoch 17/100, Train Loss: 0.0250, Validation Loss: 0.0257, Train Accuracy: 0.9884, Validation Accuracy: 0.9892
Epoch 18/100, Train Loss: 0.0238, Validation Loss: 0.0235, Train Accuracy: 0.9909, Validation Accuracy: 0.9923
Epoch 19/100, Train Loss: 0.0217, Validation Loss: 0.0220, Train Accuracy: 0.9920, Validation Accuracy: 0.9923
Epoch 20/100, Train Loss: 0.0200, Validation Loss: 0.0200, Train Accuracy: 0.9982, Validation Accuracy: 0.9977
Epoch 21/100, Train Loss: 0.0188, Validation Loss: 0.0175, Train Accuracy: 0.9932, Validation Accuracy: 0.9946
Epoch 22/100, Train Loss: 0.0175, Validation Loss: 0.0165, Train Accuracy: 0.9986, Validation Accuracy: 1.0000
Epoch 23/100, Train Loss: 0.0164, Validation Loss: 0.0162, Train Accuracy: 0.9986, Validation Accuracy: 0.9992
Epoch 24/100, Train Loss: 0.0156, Validation Loss: 0.0152, Train Accuracy: 0.9989, Validation Accuracy: 0.9992
Epoch 25/100, Train Loss: 0.0150, Validation Loss: 0.0149, Train Accuracy: 0.9989, Validation Accuracy: 0.9985
Epoch 26/100, Train Loss: 0.0152, Validation Loss: 0.0159, Train Accuracy: 0.9989, Validation Accuracy: 0.9992
Epoch 27/100, Train Loss: 0.0149, Validation Loss: 0.0129, Train Accuracy: 1.0000, Validation Accuracy: 1.0000
Epoch 28/100, Train Loss: 0.0147, Validation Loss: 0.0134, Train Accuracy: 0.9982, Validation Accuracy: 0.9992
Epoch 29/100, Train Loss: 0.0147, Validation Loss: 0.0130, Train Accuracy: 0.9991, Validation Accuracy: 0.9992
Epoch 30/100, Train Loss: 0.0133, Validation Loss: 0.0112, Train Accuracy: 0.9986, Validation Accuracy: 0.9985
Epoch 31/100, Train Loss: 0.0120, Validation Loss: 0.0119, Train Accuracy: 0.9993, Validation Accuracy: 0.9992
Epoch 32/100, Train Loss: 0.0121, Validation Loss: 0.0140, Train Accuracy: 0.9975, Validation Accuracy: 0.9977
Epoch 33/100, Train Loss: 0.0134, Validation Loss: 0.0108, Train Accuracy: 0.9993, Validation Accuracy: 1.0000
Epoch 34/100, Train Loss: 0.0116, Validation Loss: 0.0119, Train Accuracy: 0.9993, Validation Accuracy: 1.0000
Epoch 35/100, Train Loss: 0.0113, Validation Loss: 0.0109, Train Accuracy: 0.9998, Validation Accuracy: 0.9992
Epoch 36/100, Train Loss: 0.0113, Validation Loss: 0.0099, Train Accuracy: 0.9991, Validation Accuracy: 1.0000
Epoch 37/100, Train Loss: 0.0102, Validation Loss: 0.0094, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 38/100, Train Loss: 0.0097, Validation Loss: 0.0095, Train Accuracy: 0.9991, Validation Accuracy: 1.0000
Epoch 39/100, Train Loss: 0.0090, Validation Loss: 0.0084, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 40/100, Train Loss: 0.0086, Validation Loss: 0.0076, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 41/100, Train Loss: 0.0084, Validation Loss: 0.0087, Train Accuracy: 1.0000, Validation Accuracy: 0.9977
Epoch 42/100, Train Loss: 0.0081, Validation Loss: 0.0075, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 43/100, Train Loss: 0.0082, Validation Loss: 0.0070, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 44/100, Train Loss: 0.0087, Validation Loss: 0.0077, Train Accuracy: 0.9998, Validation Accuracy: 0.9985
Epoch 45/100, Train Loss: 0.0084, Validation Loss: 0.0079, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 46/100, Train Loss: 0.0080, Validation Loss: 0.0074, Train Accuracy: 0.9989, Validation Accuracy: 0.9985
Epoch 47/100, Train Loss: 0.0073, Validation Loss: 0.0067, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 48/100, Train Loss: 0.0072, Validation Loss: 0.0067, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 49/100, Train Loss: 0.0072, Validation Loss: 0.0071, Train Accuracy: 0.9993, Validation Accuracy: 0.9985
Epoch 50/100, Train Loss: 0.0075, Validation Loss: 0.0061, Train Accuracy: 0.9986, Validation Accuracy: 0.9985
Epoch 51/100, Train Loss: 0.0075, Validation Loss: 0.0064, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 52/100, Train Loss: 0.0067, Validation Loss: 0.0073, Train Accuracy: 0.9975, Validation Accuracy: 0.9969
Epoch 53/100, Train Loss: 0.0098, Validation Loss: 0.0134, Train Accuracy: 0.9973, Validation Accuracy: 0.9946
Epoch 54/100, Train Loss: 0.0086, Validation Loss: 0.0082, Train Accuracy: 0.9993, Validation Accuracy: 0.9985
Epoch 55/100, Train Loss: 0.0078, Validation Loss: 0.0073, Train Accuracy: 0.9986, Validation Accuracy: 0.9985
Epoch 56/100, Train Loss: 0.0076, Validation Loss: 0.0056, Train Accuracy: 0.9980, Validation Accuracy: 0.9977
Epoch 57/100, Train Loss: 0.0067, Validation Loss: 0.0054, Train Accuracy: 0.9998, Validation Accuracy: 0.9992
Epoch 58/100, Train Loss: 0.0065, Validation Loss: 0.0062, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 59/100, Train Loss: 0.0070, Validation Loss: 0.0050, Train Accuracy: 1.0000, Validation Accuracy: 1.0000
Epoch 60/100, Train Loss: 0.0057, Validation Loss: 0.0049, Train Accuracy: 0.9998, Validation Accuracy: 1.0000
Epoch 61/100, Train Loss: 0.0056, Validation Loss: 0.0049, Train Accuracy: 1.0000, Validation Accuracy: 1.0000
Epoch 62/100, Train Loss: 0.0053, Validation Loss: 0.0050, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 63/100, Train Loss: 0.0055, Validation Loss: 0.0050, Train Accuracy: 0.9998, Validation Accuracy: 0.9992
Epoch 64/100, Train Loss: 0.0060, Validation Loss: 0.0055, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 65/100, Train Loss: 0.0059, Validation Loss: 0.0048, Train Accuracy: 1.0000, Validation Accuracy: 1.0000
Epoch 66/100, Train Loss: 0.0063, Validation Loss: 0.0085, Train Accuracy: 0.9998, Validation Accuracy: 1.0000
Epoch 67/100, Train Loss: 0.0073, Validation Loss: 0.0054, Train Accuracy: 0.9989, Validation Accuracy: 0.9992
Epoch 68/100, Train Loss: 0.0060, Validation Loss: 0.0058, Train Accuracy: 0.9995, Validation Accuracy: 0.9985
Epoch 69/100, Train Loss: 0.0060, Validation Loss: 0.0055, Train Accuracy: 0.9986, Validation Accuracy: 0.9992
Epoch 70/100, Train Loss: 0.0058, Validation Loss: 0.0051, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 71/100, Train Loss: 0.0053, Validation Loss: 0.0052, Train Accuracy: 0.9993, Validation Accuracy: 0.9985
Epoch 72/100, Train Loss: 0.0050, Validation Loss: 0.0048, Train Accuracy: 0.9989, Validation Accuracy: 0.9992
Epoch 73/100, Train Loss: 0.0052, Validation Loss: 0.0048, Train Accuracy: 1.0000, Validation Accuracy: 0.9992
Epoch 74/100, Train Loss: 0.0051, Validation Loss: 0.0057, Train Accuracy: 0.9998, Validation Accuracy: 0.9977
Epoch 75/100, Train Loss: 0.0051, Validation Loss: 0.0046, Train Accuracy: 0.9991, Validation Accuracy: 0.9985
Epoch 76/100, Train Loss: 0.0047, Validation Loss: 0.0052, Train Accuracy: 1.0000, Validation Accuracy: 0.9985
Epoch 77/100, Train Loss: 0.0048, Validation Loss: 0.0053, Train Accuracy: 0.9993, Validation Accuracy: 0.9985
Epoch 78/100, Train Loss: 0.0047, Validation Loss: 0.0046, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 79/100, Train Loss: 0.0047, Validation Loss: 0.0049, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 80/100, Train Loss: 0.0043, Validation Loss: 0.0043, Train Accuracy: 0.9995, Validation Accuracy: 0.9992
Epoch 81/100, Train Loss: 0.0044, Validation Loss: 0.0045, Train Accuracy: 0.9998, Validation Accuracy: 0.9985
Epoch 82/100, Train Loss: 0.0046, Validation Loss: 0.0048, Train Accuracy: 1.0000, Validation Accuracy: 0.9985
