id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.75,1.17,1.12,0.75,0.99,0.78,18,0
2,proxy2,1.0,0.81,1.14,1.0,0.99,1.0,23,0
3,proxy3,0.76,1.16,0.97,0.76,0.99,0.83,19,0
4,proxy4,1.26,1.02,0.77,1.26,1.01,1.17,27,0
5,proxy5,3.95,0.89,0.82,3.95,1.0,0.78,18,1
6,proxy6,6.91,0.97,1.2,6.91,1.01,1.17,27,1
7,proxy7,1.21,0.89,1.14,1.21,1.01,1.3,30,0
8,proxy8,0.8,1.0,1.16,0.8,0.99,0.87,20,0
9,proxy9,0.85,0.78,1.0,0.85,1.0,0.87,20,0
10,proxy10,1.02,0.85,1.01,1.02,1.0,1.0,23,0
11,proxy11,1.13,0.96,1.1,1.13,1.02,1.17,27,0
12,proxy12,0.92,1.23,0.99,0.92,1.01,1.13,26,0
13,proxy13,3.76,0.98,0.84,3.76,1.0,1.17,27,1
14,proxy14,5.35,0.92,1.19,5.35,1.0,1.13,26,1
15,proxy15,4.53,0.87,0.64,4.53,1.03,1.35,31,1
16,proxy16,3.85,1.23,0.8,3.85,1.01,1.35,31,1
17,proxy17,0.82,1.19,0.69,0.82,0.99,0.91,21,0
18,proxy18,1.06,1.24,0.67,1.06,1.02,1.17,27,0
19,proxy19,1.26,0.93,0.83,1.26,1.0,1.13,26,0
20,proxy20,6.25,1.1,1.19,6.25,1.02,1.43,33,1
