id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.17,1.03,0.77,0.17,0.99,0.25,2,0
2,proxy2,1.09,0.81,1.33,1.09,1.0,1.0,8,0
3,proxy3,0.81,0.67,0.74,0.81,1.0,0.75,6,0
4,proxy4,0.73,1.25,0.98,0.73,1.0,0.88,7,0
5,proxy5,0.88,0.75,0.78,0.88,0.99,0.62,5,0
6,proxy6,1.0,0.92,0.86,1.0,1.0,1.12,9,0
7,proxy7,1.42,1.24,1.17,1.42,1.0,1.25,10,0
8,proxy8,1.41,1.15,1.33,1.41,1.01,1.12,9,0
9,proxy9,0.9,0.89,1.0,0.9,0.99,0.62,5,0
10,proxy10,1.7,0.86,0.99,1.7,1.02,1.62,13,0
11,proxy11,1.92,1.07,0.71,1.92,1.01,1.38,11,0
12,proxy12,0.95,1.05,0.86,0.95,1.0,0.88,7,0
13,proxy13,1.49,0.67,0.79,1.49,1.01,1.38,11,0
14,proxy14,1.01,1.0,0.68,1.01,1.0,0.75,6,0
15,proxy15,0.82,0.67,0.93,0.82,1.0,0.88,7,0
16,proxy16,0.43,0.91,1.22,0.43,0.99,0.62,5,0
17,proxy17,0.66,1.08,0.91,0.66,0.99,0.62,5,0
18,proxy18,1.11,0.96,1.13,1.11,1.01,1.25,10,0
19,proxy19,0.79,0.84,1.36,0.79,1.0,0.75,6,0
20,proxy20,1.22,0.65,0.8,1.22,1.0,1.12,9,0
21,proxy21,1.0,0.93,1.25,1.0,0.99,1.0,8,0
22,proxy22,0.93,0.65,0.88,0.93,1.0,1.12,9,0
23,proxy23,0.47,1.12,1.06,0.47,1.0,0.88,7,0
24,proxy24,0.86,0.83,1.28,0.86,1.0,0.62,5,0
25,proxy25,0.82,0.83,1.08,0.82,1.0,0.62,5,0
26,proxy26,0.9,1.01,0.7,0.9,1.0,0.62,5,0
27,proxy27,1.31,1.19,0.75,1.31,1.01,1.38,11,0
28,proxy28,0.77,0.76,1.1,0.77,1.0,1.0,8,0
29,proxy29,1.71,1.07,0.82,1.71,1.01,1.38,11,0
30,proxy30,0.86,0.98,0.92,0.86,1.0,1.0,8,0
31,proxy31,1.19,0.8,1.18,1.19,1.01,1.38,11,0
32,proxy32,0.68,0.81,1.07,0.68,0.99,0.62,5,0
33,proxy33,1.22,1.27,1.28,1.22,1.01,1.25,10,0
34,proxy34,0.92,1.19,1.34,0.92,1.0,1.12,9,0
35,proxy35,0.65,0.72,1.26,0.65,0.99,0.5,4,0
36,proxy36,0.12,0.77,0.75,0.12,0.98,0.25,2,0
37,proxy37,0.98,1.28,1.28,0.98,1.01,1.38,11,0
38,proxy38,1.07,0.97,1.18,1.07,1.0,1.0,8,0
39,proxy39,0.88,0.85,1.24,0.88,1.0,1.0,8,0
40,proxy40,1.21,1.27,0.98,1.21,1.0,1.12,9,0
41,proxy41,2.36,1.17,1.02,2.36,1.02,1.88,15,0
42,proxy42,0.2,0.7,1.12,0.2,1.0,0.5,4,0
43,proxy43,1.24,0.9,0.99,1.24,1.0,1.12,9,0
44,proxy44,0.37,1.02,0.98,0.37,0.99,0.5,4,0
45,proxy45,0.9,0.85,0.79,0.9,1.0,0.75,6,0
46,proxy46,0.45,1.04,1.06,0.45,0.99,0.5,4,0
47,proxy47,1.1,1.18,1.2,1.1,1.0,1.0,8,0
48,proxy48,1.38,0.99,0.95,1.38,1.0,1.25,10,0
49,proxy49,1.04,0.75,1.36,1.04,1.0,0.88,7,0
50,proxy50,1.4,0.77,1.11,1.4,1.0,1.12,9,0
51,proxy51,0.71,0.89,0.95,0.71,0.99,0.75,6,0
52,proxy52,0.82,0.77,1.32,0.82,1.0,0.75,6,0
53,proxy53,0.93,1.28,0.85,0.93,1.01,1.0,8,0
54,proxy54,1.05,0.86,0.78,1.05,1.0,0.88,7,0
55,proxy55,0.7,0.94,1.0,0.7,1.0,0.62,5,0
56,proxy56,0.67,1.02,0.68,0.67,0.99,0.62,5,0
57,proxy57,2.21,1.14,0.98,2.21,1.02,1.75,14,0
58,proxy58,0.79,0.85,0.86,0.79,1.0,0.5,4,0
59,proxy59,1.38,1.19,0.7,1.38,1.01,1.38,11,0
60,proxy60,0.52,1.27,0.69,0.52,0.99,0.38,3,0
61,proxy61,0.87,1.07,1.0,0.87,1.0,1.25,10,0
62,proxy62,0.93,1.17,1.23,0.93,0.99,1.0,8,0
63,proxy63,0.66,1.26,1.24,0.66,1.0,0.75,6,0
64,proxy64,1.11,1.0,0.88,1.11,1.0,1.12,9,0
65,proxy65,1.71,0.85,0.69,1.71,1.01,1.38,11,0
66,proxy66,1.3,1.11,1.27,1.3,1.01,1.25,10,0
67,proxy67,1.62,1.21,1.13,1.62,1.02,1.62,13,0
68,proxy68,0.07,0.89,0.7,0.07,0.99,0.25,2,0
69,proxy69,0.98,1.25,1.05,0.98,1.0,0.88,7,0
70,proxy70,1.26,1.1,1.07,1.26,1.0,1.12,9,0
71,proxy71,1.74,1.26,0.81,1.74,1.02,1.62,13,0
72,proxy72,1.86,1.19,0.95,1.86,1.02,1.5,12,0
73,proxy73,1.23,1.03,0.99,1.23,1.0,0.88,7,0
74,proxy74,0.96,1.1,1.16,0.96,1.0,0.75,6,0
75,proxy75,0.88,1.19,1.28,0.88,1.01,1.0,8,0
76,proxy76,1.12,0.66,1.07,1.12,1.0,0.75,6,0
77,proxy77,1.47,0.73,1.18,1.47,1.01,1.5,12,0
78,proxy78,2.14,0.8,0.99,2.14,1.01,1.75,14,0
79,proxy79,0.99,0.73,1.1,0.99,1.0,1.0,8,0
80,proxy80,0.84,0.88,0.77,0.84,1.0,0.88,7,0
81,proxy81,0.72,1.03,1.26,0.72,0.99,0.62,5,0
82,proxy82,0.76,0.7,0.98,0.76,0.99,0.75,6,0
83,proxy83,1.51,1.17,0.98,1.51,1.01,1.25,10,0
84,proxy84,2.23,0.94,1.09,2.23,1.01,1.88,15,0
85,proxy85,0.38,1.14,0.72,0.38,0.99,0.5,4,0
86,proxy86,0.54,1.0,0.98,0.54,0.99,0.38,3,0
87,proxy87,2.06,0.88,1.09,2.06,1.02,2.25,18,0
88,proxy88,1.93,1.19,0.93,1.93,1.0,1.25,10,0
89,proxy89,1.4,1.23,0.87,1.4,1.0,1.62,13,0
90,proxy90,1.34,0.9,1.02,1.34,1.01,1.25,10,0
91,proxy91,1.08,1.05,1.13,1.08,1.0,0.88,7,0
92,proxy92,1.14,1.02,1.06,1.14,1.0,1.12,9,0
93,proxy93,1.16,1.19,0.73,1.16,1.02,1.38,11,0
94,proxy94,1.42,0.99,0.84,1.42,1.0,1.0,8,0
95,proxy95,0.68,1.26,0.8,0.68,1.0,0.75,6,0
