id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,11.530000000000003,4.860355452677821,28.59303325213954,1.1530000000000002,100,179,53
2,proxy2,14.62,5.328499710078998,18.664602392686753,1.4619999999999997,100,255,63
3,proxy3,13.170000000000002,4.95727117749869,10.919064051176642,1.3170000000000002,100,223,55
4,proxy4,12.520000000000001,4.835804301541769,15.953179313381613,1.2519999999999996,100,215,57
5,proxy5,15.569999999999995,5.1385457605578155,14.46994296399528,1.556999999999999,100,310,76
6,proxy6,12.370000000000001,4.986987142765077,26.972624695981057,1.2369999999999999,100,265,59
7,proxy7,12.69,4.6322054778062745,13.347871913293684,1.2690000000000001,100,227,55
8,proxy8,12.420000000000002,4.532463602663721,21.890652634147315,1.2420000000000004,100,243,57
9,proxy9,12.979999999999999,4.012402400749433,24.957311241365808,1.298,100,266,60
10,proxy10,15.090000000000002,4.324038575112999,17.272672407063055,1.509,100,261,65
