id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.0,1.0,1.0,1.18,1.0,0.93,14,0
2,proxy2,1.0,0.93,0.75,1.18,1.0,1.07,16,0
3,proxy3,14.53,1.25,3.44,207.75,4.26,1.47,22,1
4,proxy4,0.71,1.25,0.99,0.84,0.99,0.8,12,0
5,proxy5,0.46,1.25,1.22,0.55,0.98,0.6,9,0
6,proxy6,0.4,0.75,0.77,0.47,0.99,0.6,9,0
7,proxy7,12.98,0.69,7.05,1.21,9.88,2.6,19,0
8,proxy8,20.96,1.19,10.3,0.74,18.54,3.2,8,0
9,proxy9,1.14,1.07,1.16,1.34,1.01,1.2,18,0
10,proxy10,0.61,0.72,1.06,0.71,1.0,1.0,15,0
11,proxy11,0.74,1.2,1.26,0.88,1.01,1.0,15,0
12,proxy12,14.92,0.97,3.89,209.08,4.96,0.6,9,1
13,proxy13,15.77,0.71,3.53,182.71,4.3,0.87,13,1
14,proxy14,1.04,0.84,0.88,1.22,1.01,1.13,17,0
15,proxy15,0.36,1.24,0.66,0.43,0.99,0.53,8,0
16,proxy16,1.06,1.01,1.08,1.25,1.02,1.2,18,0
17,proxy17,11.07,1.07,6.7,0.64,6.47,2.2,13,0
18,proxy18,0.69,0.84,1.07,0.82,0.99,0.73,11,0
19,proxy19,14.59,1.32,3.52,191.01,4.44,1.13,17,1
20,proxy20,1.08,1.18,0.96,1.27,1.01,1.0,15,0
21,proxy21,28.42,1.33,6.21,438.94,8.61,1.13,17,1
22,proxy22,0.85,0.81,0.89,1.0,0.99,1.0,15,0
23,proxy23,0.78,1.11,1.1,0.92,1.0,0.93,14,0
24,proxy24,17.12,0.93,3.19,201.98,5.27,1.13,17,1
25,proxy25,11.14,0.72,4.5,1.57,9.31,2.73,21,0
26,proxy26,0.71,0.87,0.95,0.84,0.99,0.8,12,0
27,proxy27,1.06,1.01,1.22,1.26,1.0,0.87,13,0
28,proxy28,1.1,0.83,1.0,1.29,1.02,1.27,19,0
29,proxy29,13.72,1.07,3.21,150.05,4.5,0.87,13,1
30,proxy30,0.98,1.02,0.83,1.16,1.0,0.87,13,0
31,proxy31,0.83,0.92,0.95,0.99,0.99,0.67,10,0
32,proxy32,1.16,1.34,1.14,1.36,1.02,1.07,16,0
33,proxy33,0.76,0.87,0.91,0.9,1.01,0.87,13,0
34,proxy34,14.44,1.18,3.24,177.3,5.33,0.93,14,1
35,proxy35,1.09,0.75,0.75,1.29,1.0,1.0,15,0
