Starting training...
Epoch 1/100, Train Loss: 0.5946, Validation Loss: 0.1504, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 2/100, Train Loss: 0.1286, Validation Loss: 0.1348, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 3/100, Train Loss: 0.1231, Validation Loss: 0.1199, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 4/100, Train Loss: 0.1083, Validation Loss: 0.1062, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 5/100, Train Loss: 0.0957, Validation Loss: 0.0942, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 6/100, Train Loss: 0.0848, Validation Loss: 0.0846, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 7/100, Train Loss: 0.0754, Validation Loss: 0.0753, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 8/100, Train Loss: 0.0660, Validation Loss: 0.0653, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 9/100, Train Loss: 0.0568, Validation Loss: 0.0561, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 10/100, Train Loss: 0.0493, Validation Loss: 0.0489, Train Accuracy: 0.9757, Validation Accuracy: 0.9723
Epoch 11/100, Train Loss: 0.0425, Validation Loss: 0.0427, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 12/100, Train Loss: 0.0379, Validation Loss: 0.0382, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 13/100, Train Loss: 0.0341, Validation Loss: 0.0344, Train Accuracy: 0.9836, Validation Accuracy: 0.9831
Epoch 14/100, Train Loss: 0.0312, Validation Loss: 0.0320, Train Accuracy: 0.9886, Validation Accuracy: 0.9892
Epoch 15/100, Train Loss: 0.0286, Validation Loss: 0.0289, Train Accuracy: 0.9891, Validation Accuracy: 0.9892
Epoch 16/100, Train Loss: 0.0266, Validation Loss: 0.0264, Train Accuracy: 0.9868, Validation Accuracy: 0.9869
Epoch 17/100, Train Loss: 0.0243, Validation Loss: 0.0240, Train Accuracy: 0.9907, Validation Accuracy: 0.9915
