id,normal,direct,slow,steal
106.171.255.248,1,0,0,0
89.241.86.242,1,0,0,0
101.124.102.78,1,0,0,0
191.82.147.81,1,0,0,0
43.136.190.254,1,0,0,0
222.78.34.233,1,0,0,0
59.253.139.103,1,0,0,0
182.161.48.74,1,0,0,0
90.206.205.36,1,0,0,0
124.61.183.214,1,0,0,0
184.186.116.146,1,0,0,0
51.161.238.215,1,0,0,0
159.187.59.216,1,0,0,0
3.153.90.209,1,0,0,0
154.170.23.108,1,0,0,0
137.134.227.255,1,0,0,0
39.242.19.158,1,0,0,0
139.149.208.62,1,0,0,0
89.64.171.56,1,0,0,0
148.155.23.159,1,0,0,0
115.130.134.68,1,0,0,0
227.155.229.83,1,0,0,0
178.112.183.146,1,0,0,0
181.186.173.99,1,0,0,0
9.250.236.120,1,0,0,0
208.115.186.123,1,0,0,0
164.247.175.208,1,0,0,0
208.215.124.62,1,0,0,0
127.79.5.173,1,0,0,0
81.221.35.8,1,0,0,0
127.145.174.61,1,0,0,0
141.252.204.134,1,0,0,0
180.114.118.67,1,0,0,0
27.119.187.53,1,0,0,0
45.41.214.135,1,0,0,0
192.240.66.255,1,0,0,0
207.30.208.63,1,0,0,0
166.117.163.60,1,0,0,0
219.131.103.141,1,0,0,0
83.229.90.200,1,0,0,0
155.181.50.45,1,0,0,0
50.124.45.196,1,0,0,0
153.104.187.211,1,0,0,0
145.128.173.15,1,0,0,0
220.164.44.76,1,0,0,0
138.136.105.179,1,0,0,0
47.97.243.245,1,0,0,0
144.6.215.213,1,0,0,0
237.221.46.203,1,0,0,0
138.103.67.35,1,0,0,0
39.229.116.47,1,0,0,0
249.231.152.204,1,0,0,0
159.221.102.27,1,0,0,0
202.52.216.126,1,0,0,0
211.175.89.216,1,0,0,0
35.172.213.220,1,0,0,0
37.35.115.17,1,0,0,0
230.113.251.152,1,0,0,0
185.65.28.228,1,0,0,0
172.155.153.56,1,0,0,0
224.3.227.95,1,0,0,0
226.149.255.38,1,0,0,0
179.44.7.159,1,0,0,0
207.92.140.89,1,0,0,0
169.122.35.243,1,0,0,0
174.126.40.83,1,0,0,0
222.137.137.203,1,0,0,0
38.142.68.228,1,0,0,0
211.96.115.209,1,0,0,0
101.37.4.15,1,0,0,0
228.186.34.163,1,0,0,0
15.128.5.208,1,0,0,0
105.61.25.45,1,0,0,0
197.105.147.18,1,0,0,0
221.136.195.25,1,0,0,0
113.180.102.35,1,0,0,0
31.207.117.216,1,0,0,0
197.113.58.23,1,0,0,0
139.129.121.2,1,0,0,0
156.96.162.251,1,0,0,0
221.130.31.77,1,0,0,0
224.194.206.170,1,0,0,0
11.175.242.152,1,0,0,0
208.108.246.52,1,0,0,0
168.31.63.69,1,0,0,0
204.45.63.83,1,0,0,0
142.213.207.196,1,0,0,0
56.82.146.160,1,0,0,0
36.61.245.98,1,0,0,0
23.12.196.119,1,0,0,0
28.84.217.220,1,0,0,0
87.47.246.162,0,0,1,0
205.182.9.123,1,0,0,0
99.241.5.6,1,0,0,0
31.155.98.104,1,0,0,0
150.127.198.68,1,0,0,0
150.126.49.33,1,0,0,0
101.96.12.107,1,0,0,0
81.114.26.210,1,0,0,0
45.15.20.244,1,0,0,0
222.71.57.101,1,0,0,0
43.199.39.197,1,0,0,0
5.121.126.168,1,0,0,0
12.175.57.30,1,0,0,0
206.7.159.243,1,0,0,0
182.241.154.145,1,0,0,0
153.156.193.98,1,0,0,0
1.142.108.76,1,0,0,0
49.7.107.201,1,0,0,0
154.70.24.73,1,0,0,0
223.10.71.39,1,0,0,0
181.145.79.64,1,0,0,0
192.223.218.135,1,0,0,0
51.72.20.34,1,0,0,0
149.157.202.246,1,0,0,0
119.13.192.72,1,0,0,0
134.45.98.200,1,0,0,0
212.63.60.198,1,0,0,0
151.31.42.224,1,0,0,0
88.206.6.70,1,0,0,0
113.114.243.193,1,0,0,0
207.116.102.68,1,0,0,0
106.228.37.195,1,0,0,0
58.214.111.74,1,0,0,0
87.217.24.218,1,0,0,0
171.65.217.14,1,0,0,0
171.62.92.63,1,0,0,0
213.174.58.209,1,0,0,0
228.65.140.99,1,0,0,0
230.105.95.169,1,0,0,0
150.246.155.43,1,0,0,0
228.158.141.133,1,0,0,0
212.233.180.82,1,0,0,0
250.54.238.15,1,0,0,0
137.119.123.61,1,0,0,0
111.187.177.233,1,0,0,0
36.133.139.158,1,0,0,0
23.130.227.96,1,0,0,0
173.228.7.31,1,0,0,0
133.89.127.102,1,0,0,0
81.56.238.18,1,0,0,0
243.148.196.240,1,0,0,0
209.47.67.26,1,0,0,0
207.145.231.49,1,0,0,0
125.18.243.100,1,0,0,0
204.98.86.171,1,0,0,0
214.29.146.191,1,0,0,0
95.71.249.78,1,0,0,0
38.109.28.36,1,0,0,0
100.192.126.194,1,0,0,0
241.232.175.221,1,0,0,0
73.136.33.28,1,0,0,0
120.15.79.18,1,0,0,0
100.213.246.79,1,0,0,0
67.13.143.71,1,0,0,0
242.71.82.203,1,0,0,0
18.90.229.18,1,0,0,0
215.21.178.25,1,0,0,0
129.19.161.92,1,0,0,0
84.149.110.38,1,0,0,0
178.57.81.192,0,0,1,0
191.135.63.170,1,0,0,0
32.119.112.154,1,0,0,0
216.126.92.194,1,0,0,0
2.63.240.174,1,0,0,0
76.47.53.81,1,0,0,0
9.117.222.169,1,0,0,0
199.251.179.140,1,0,0,0
26.92.139.66,0,0,1,0
8.176.76.136,1,0,0,0
27.201.70.139,0,0,1,0
30.27.16.77,1,0,0,0
238.33.178.63,1,0,0,0
199.159.145.21,1,0,0,0
20.223.131.109,1,0,0,0
245.55.185.109,1,0,0,0
226.126.106.104,1,0,0,0
161.163.150.232,1,0,0,0
218.110.165.54,1,0,0,0
228.158.214.108,1,0,0,0
86.147.132.33,1,0,0,0
41.27.168.38,1,0,0,0
142.201.80.77,1,0,0,0
93.55.214.244,1,0,0,0
194.64.93.88,1,0,0,0
221.181.221.109,1,0,0,0
236.240.147.93,1,0,0,0
176.117.154.66,1,0,0,0
249.37.129.99,1,0,0,0
101.186.19.62,1,0,0,0
178.154.48.225,1,0,0,0
110.109.19.51,1,0,0,0
139.30.154.138,1,0,0,0
196.4.60.128,1,0,0,0
64.32.127.168,1,0,0,0
138.67.161.189,1,0,0,0
182.253.10.160,1,0,0,0
196.189.199.220,1,0,0,0
