id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.61,1.18,1.07,0.61,1.0,0.93,7,0
2,proxy2,1.28,0.91,0.98,1.28,1.0,1.2,9,0
3,proxy3,1.2,1.04,0.82,1.2,1.01,0.93,7,0
4,proxy4,0.88,0.69,1.1,0.87,0.99,0.8,6,0
5,proxy5,0.56,1.22,0.78,0.56,0.99,0.53,4,0
6,proxy6,0.39,1.0,0.71,0.39,0.99,0.4,3,0
7,proxy7,0.62,0.84,0.75,0.62,1.0,0.93,7,0
8,proxy8,1.01,0.8,1.02,1.01,1.0,1.07,8,0
9,proxy9,0.75,0.76,1.16,0.75,1.0,0.8,6,0
10,proxy10,0.74,0.91,1.18,0.74,1.0,1.07,8,0
11,proxy11,0.83,0.98,1.16,0.83,0.99,0.67,5,0
12,proxy12,1.39,1.26,0.87,1.39,1.0,1.2,9,0
13,proxy13,0.55,0.82,1.12,0.55,1.0,0.93,7,0
14,proxy14,0.76,0.77,1.24,0.76,0.99,0.8,6,0
15,proxy15,1.68,1.23,0.94,1.68,1.01,1.73,13,0
16,proxy16,2.15,1.34,0.71,2.15,1.01,1.73,13,0
17,proxy17,0.68,0.9,0.89,0.68,1.0,0.93,7,0
18,proxy18,0.8,1.1,0.92,0.8,1.0,1.2,9,0
19,proxy19,0.49,1.07,1.21,0.49,1.0,0.53,4,0
20,proxy20,1.29,0.84,0.95,1.29,1.01,1.47,11,0
21,proxy21,1.51,0.87,1.31,1.51,1.0,1.47,11,0
22,proxy22,1.06,0.79,0.88,1.06,1.0,0.93,7,0
23,proxy23,0.68,1.19,0.96,0.68,0.99,0.67,5,0
24,proxy24,0.2,1.18,0.76,0.2,0.99,0.27,2,0
25,proxy25,1.62,0.79,1.06,1.62,1.0,1.33,10,0
26,proxy26,1.22,0.92,1.19,1.22,1.01,1.2,9,0
27,proxy27,0.59,1.25,1.2,0.59,0.99,0.53,4,0
28,proxy28,0.55,1.01,0.79,0.55,1.0,0.67,5,0
29,proxy29,1.17,1.29,0.87,1.17,1.0,1.2,9,0
30,proxy30,1.81,1.31,0.78,1.81,1.01,1.47,11,0
31,proxy31,0.47,1.26,0.96,0.47,0.99,0.53,4,0
32,proxy32,0.72,0.78,0.8,0.72,1.0,0.93,7,0
