id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,1.9,19.55204974235214,22.444958151968827,0.19,11.2,7,7,0
2,proxy2,2.08,25.607671939622932,12.909757756779568,0.20800000000000002,12.3,9,9,0
3,proxy3,2.6100000000000003,26.88536356297407,11.88092103070949,0.261,13.4,11,11,0
4,proxy4,2.85,18.87980084775298,28.74697251849955,0.28500000000000003,12.600000000000001,13,13,0
5,proxy5,1.42,27.534767346811947,27.074108709008435,0.14200000000000002,11.4,6,6,0
6,proxy6,2.62,17.12752604729164,12.683977707262033,0.262,12.5,14,14,0
7,proxy7,1.54,26.386815078147787,29.82706882983613,0.154,11.7,6,6,0
8,proxy8,78.82173158905672,12.928194003277419,63.5036630615997,54.35583104794083,45.77412480292567,9,9,1
9,proxy9,2.05,21.86605508746384,26.673109671992417,0.20500000000000002,12.2,11,11,0
10,proxy10,3.29,23.74229066918259,25.544204598540265,0.329,12.8,14,14,0
