id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.72,1.07,1.1,0.76,0.99,0.88,7,0
2,proxy2,22.9,1.02,4.42,1.1,6.22,3.25,6,0
3,proxy3,1.05,1.2,0.99,1.11,1.0,1.12,9,0
4,proxy4,0.33,1.02,0.94,0.35,0.99,0.25,2,0
5,proxy5,0.81,1.26,0.86,0.86,1.0,1.0,8,0
6,proxy6,0.43,0.98,1.01,0.46,0.99,0.5,4,0
7,proxy7,0.6,0.71,0.9,0.63,0.99,0.75,6,0
8,proxy8,1.44,0.75,0.84,1.52,1.0,1.0,8,0
9,proxy9,4.65,0.97,4.54,0.87,9.92,3.12,5,0
10,proxy10,1.51,0.68,1.06,1.59,1.0,1.25,10,0
11,proxy11,0.95,1.13,1.06,1.0,0.99,0.62,5,0
12,proxy12,27.36,0.7,4.79,1.19,10.42,3.5,8,0
13,proxy13,6.73,1.1,0.91,7.1,0.99,0.62,5,1
14,proxy14,1.51,1.07,0.84,1.59,1.0,1.25,10,0
15,proxy15,0.95,0.77,0.97,1.0,1.0,0.88,7,0
