id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.87,1.22,0.71,0.89,0.99,0.67,9,0
2,proxy2,0.55,1.25,0.69,0.56,0.98,0.67,9,0
3,proxy3,0.9,0.7,1.08,0.92,1.01,0.96,13,0
4,proxy4,23.02,0.78,4.16,216.94,5.02,1.56,21,1
5,proxy5,0.91,0.98,0.7,0.93,0.99,0.89,12,0
6,proxy6,19.72,0.9,3.3,183.41,5.11,0.89,12,1
7,proxy7,1.23,0.86,0.98,1.26,1.0,1.19,16,0
8,proxy8,23.56,1.04,3.6,204.24,5.66,0.81,11,1
9,proxy9,23.9,1.06,9.65,1.07,14.2,4.0,14,0
10,proxy10,1.4,0.7,0.93,1.43,1.01,1.63,22,0
11,proxy11,0.94,0.71,1.03,0.96,1.0,0.96,13,0
12,proxy12,1.15,1.15,0.83,1.18,1.01,1.26,17,0
13,proxy13,0.92,1.18,0.87,0.94,1.0,1.11,15,0
14,proxy14,16.02,0.95,7.38,1.0,7.88,2.67,16,0
15,proxy15,0.97,0.82,0.69,1.0,1.0,0.96,13,0
16,proxy16,0.92,0.82,1.09,0.94,0.99,0.81,11,0
17,proxy17,0.97,0.76,1.02,0.99,1.01,0.96,13,0
18,proxy18,17.82,0.99,3.83,244.3,4.87,1.19,16,1
19,proxy19,19.43,0.77,3.65,207.73,4.1,1.41,19,1
20,proxy20,0.68,1.1,1.33,0.69,1.0,0.96,13,0
21,proxy21,1.03,0.81,0.69,1.05,0.99,0.81,11,0
22,proxy22,18.99,0.71,4.56,227.3,5.81,1.19,16,1
23,proxy23,1.47,0.91,0.85,1.51,1.01,1.33,18,0
24,proxy24,21.85,1.09,2.9,246.14,5.15,0.89,12,1
25,proxy25,0.83,1.02,1.15,0.85,0.99,0.96,13,0
26,proxy26,0.86,0.84,1.19,0.88,1.0,0.96,13,0
27,proxy27,17.4,0.94,4.01,207.28,4.15,1.33,18,1
28,proxy28,0.56,1.25,0.85,0.58,0.98,0.52,7,0
29,proxy29,1.48,1.05,1.09,1.52,1.01,1.41,19,0
30,proxy30,1.06,1.19,1.21,1.08,0.99,1.04,14,0
31,proxy31,1.27,1.08,0.98,1.3,1.01,1.11,15,0
32,proxy32,1.08,0.89,0.78,1.11,1.0,1.19,16,0
33,proxy33,34.64,1.26,8.68,202.17,12.57,2.22,10,1
34,proxy34,1.32,1.19,1.03,1.35,1.02,1.33,18,0
35,proxy35,14.47,1.04,4.71,1.27,6.27,2.59,15,0
