id,normal,direct,slow,steal
92.234.220.1,1,0,0,0
216.168.55.94,1,0,0,0
96.175.176.64,1,0,0,0
152.79.245.105,1,0,0,0
46.174.9.83,1,0,0,0
166.9.171.163,1,0,0,0
220.97.240.83,1,0,0,0
92.247.169.176,1,0,0,0
216.169.10.71,1,0,0,0
99.93.78.132,1,0,0,0
137.144.206.83,1,0,0,0
87.242.165.79,1,0,0,0
254.178.206.150,1,0,0,0
7.171.173.49,1,0,0,0
164.200.196.102,1,0,0,0
119.208.151.115,1,0,0,0
18.154.130.86,1,0,0,0
43.71.199.174,1,0,0,0
198.105.199.84,1,0,0,0
235.130.35.152,1,0,0,0
212.189.192.41,1,0,0,0
236.164.76.167,1,0,0,0
73.124.74.189,1,0,0,0
129.77.255.161,1,0,0,0
169.58.68.6,1,0,0,0
84.73.216.177,1,0,0,0
32.100.149.118,1,0,0,0
39.204.123.231,1,0,0,0
40.237.238.254,1,0,0,0
54.102.141.193,1,0,0,0
125.213.229.181,1,0,0,0
91.82.123.89,1,0,0,0
82.157.23.152,1,0,0,0
91.193.159.8,1,0,0,0
239.66.152.223,1,0,0,0
225.57.6.62,1,0,0,0
6.140.100.173,1,0,0,0
162.137.34.215,1,0,0,0
140.114.75.131,1,0,0,0
94.72.53.2,1,0,0,0
8.195.179.251,1,0,0,0
46.72.46.64,1,0,0,0
209.185.253.185,1,0,0,0
74.113.214.132,1,0,0,0
184.225.5.185,1,0,0,0
102.89.230.16,1,0,0,0
52.124.198.124,1,0,0,0
201.88.209.152,1,0,0,0
43.198.191.163,1,0,0,0
20.97.202.234,1,0,0,0
58.28.212.106,1,0,0,0
216.218.105.251,1,0,0,0
211.213.125.208,1,0,0,0
226.132.234.180,1,0,0,0
192.178.131.176,1,0,0,0
237.45.28.136,1,0,0,0
156.139.230.67,1,0,0,0
250.76.67.186,1,0,0,0
123.58.134.233,1,0,0,0
177.206.69.55,1,0,0,0
30.164.93.171,1,0,0,0
232.157.117.129,1,0,0,0
222.86.224.2,1,0,0,0
33.66.168.145,1,0,0,0
218.6.194.190,1,0,0,0
253.208.168.126,1,0,0,0
42.218.117.172,1,0,0,0
13.68.63.188,1,0,0,0
205.150.97.150,1,0,0,0
224.105.139.192,1,0,0,0
42.130.13.38,1,0,0,0
181.235.165.161,1,0,0,0
40.153.1.250,0,0,1,0
232.196.61.146,1,0,0,0
142.68.197.126,1,0,0,0
202.218.200.48,1,0,0,0
232.48.242.252,1,0,0,0
99.213.219.182,1,0,0,0
127.5.236.22,1,0,0,0
88.111.251.250,1,0,0,0
154.178.121.198,1,0,0,0
238.112.225.168,1,0,0,0
212.200.148.149,1,0,0,0
179.238.215.135,1,0,0,0
173.101.157.245,1,0,0,0
1.133.25.29,1,0,0,0
176.15.254.137,1,0,0,0
219.203.104.100,1,0,0,0
217.99.47.117,1,0,0,0
85.212.101.69,1,0,0,0
46.33.164.176,1,0,0,0
27.28.200.129,1,0,0,0
130.212.188.164,1,0,0,0
105.36.133.94,1,0,0,0
91.53.38.46,1,0,0,0
20.98.166.243,1,0,0,0
217.222.225.8,1,0,0,0
94.190.136.224,1,0,0,0
212.184.96.94,1,0,0,0
51.243.206.99,1,0,0,0
