id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.4,1.39,1.03,1.4,1.02,1.17,31,0
2,proxy2,1.0,0.9,1.08,1.0,1.03,1.13,30,0
3,proxy3,1.1,1.23,0.92,1.1,1.02,1.06,28,0
4,proxy4,1.03,0.88,0.95,1.03,0.99,0.83,22,0
5,proxy5,0.87,0.87,0.97,0.87,1.0,1.02,27,0
6,proxy6,1.07,0.96,0.68,1.07,1.0,0.87,23,0
7,proxy7,0.74,0.94,0.67,0.74,0.99,0.72,19,0
8,proxy8,0.89,0.88,0.77,0.89,0.99,0.68,18,0
9,proxy9,1.33,1.29,1.14,1.33,1.01,1.09,29,0
10,proxy10,0.96,0.9,1.14,0.96,0.99,0.75,20,0
11,proxy11,0.89,0.91,1.07,0.89,0.99,0.79,21,0
12,proxy12,0.53,1.46,1.1,0.53,0.98,0.57,15,0
13,proxy13,1.24,1.19,1.09,1.24,1.02,1.02,27,0
14,proxy14,1.37,1.43,0.66,1.37,1.02,1.25,33,0
15,proxy15,0.95,1.4,0.73,0.95,0.99,0.91,24,0
16,proxy16,0.97,1.47,1.17,0.97,1.02,0.98,26,0
17,proxy17,0.75,1.36,1.15,0.75,0.99,0.87,23,0
18,proxy18,1.0,0.98,0.77,1.0,1.02,1.02,27,0
19,proxy19,1.28,1.01,0.7,1.28,1.01,1.13,30,0
20,proxy20,1.2,0.99,1.06,1.2,1.0,1.02,27,0
