id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.83,0.97,0.79,0.83,1.0,0.8,4,0
2,proxy2,0.91,1.33,1.08,0.91,1.0,0.6,3,0
3,proxy3,2.61,0.99,0.97,2.61,1.0,2.0,10,0
4,proxy4,1.35,1.0,0.87,1.35,1.0,1.0,5,0
5,proxy5,1.26,1.39,1.21,1.26,1.0,1.0,5,0
6,proxy6,0.53,1.0,1.1,0.53,1.0,1.0,5,0
7,proxy7,0.67,1.37,1.06,0.67,0.99,0.8,4,0
8,proxy8,0.88,0.8,1.2,0.88,1.0,1.0,5,0
9,proxy9,0.81,1.15,1.03,0.81,0.99,0.4,2,0
10,proxy10,0.5,0.79,1.15,0.5,0.99,0.6,3,0
11,proxy11,1.5,0.84,0.9,1.5,1.0,1.2,6,0
12,proxy12,0.48,0.98,0.8,0.48,1.0,0.8,4,0
13,proxy13,0.06,0.76,0.85,0.06,0.99,0.2,1,0
14,proxy14,0.33,0.82,0.75,0.33,0.99,0.2,1,0
15,proxy15,1.58,1.06,0.63,1.58,1.02,1.6,8,0
16,proxy16,1.59,1.33,1.18,1.59,1.01,1.2,6,0
17,proxy17,1.09,1.21,1.15,1.09,1.01,1.2,6,0
18,proxy18,2.34,1.23,1.13,2.34,1.02,1.8,9,0
19,proxy19,1.4,0.74,0.85,1.4,1.0,1.0,5,0
20,proxy20,1.93,1.31,0.82,1.93,1.0,1.6,8,0
