id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.56,0.84,1.13,0.56,0.98,0.78,18,0
2,proxy2,3.2,1.15,1.03,3.2,1.02,1.3,30,1
3,proxy3,9.66,1.12,1.15,9.66,1.0,1.22,28,1
4,proxy4,5.79,1.09,0.62,5.79,0.98,0.7,16,1
5,proxy5,0.67,0.97,1.0,0.67,0.99,0.91,21,0
6,proxy6,6.73,0.98,0.64,6.73,1.0,1.26,29,1
7,proxy7,1.0,0.95,1.11,1.0,1.0,1.09,25,0
8,proxy8,1.49,1.05,1.02,1.49,1.01,1.57,36,0
9,proxy9,1.16,0.86,0.92,1.16,1.02,1.3,30,0
10,proxy10,0.95,1.0,1.08,0.95,0.99,1.0,23,0
11,proxy11,0.94,0.88,1.06,0.94,1.0,0.96,22,0
12,proxy12,3.68,1.45,0.97,3.68,1.01,1.26,29,1
13,proxy13,1.3,1.36,0.77,1.3,1.03,1.35,31,0
14,proxy14,0.96,1.38,0.66,0.96,0.98,0.83,19,0
15,proxy15,1.24,0.96,0.69,1.24,1.02,1.26,29,0
16,proxy16,0.91,1.42,1.1,0.91,0.99,0.96,22,0
17,proxy17,1.19,1.33,0.87,1.19,0.99,1.13,26,0
18,proxy18,3.62,1.26,1.08,3.62,0.98,0.87,20,1
19,proxy19,3.9,1.32,0.93,3.9,1.0,1.0,23,1
20,proxy20,1.12,1.42,0.63,1.12,1.0,1.0,23,0
