id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.95,0.78,0.83,0.99,0.99,0.86,6,0
2,proxy2,1.8,1.34,1.07,1.87,1.0,1.29,9,0
3,proxy3,30.57,1.07,6.63,0.88,10.67,3.71,6,0
4,proxy4,0.92,1.1,1.21,0.96,1.0,0.71,5,0
5,proxy5,0.53,1.25,0.89,0.55,0.99,0.71,5,0
6,proxy6,31.89,0.9,6.2,0.97,6.36,4.14,9,0
7,proxy7,0.71,0.82,0.63,0.74,1.0,0.71,5,0
8,proxy8,1.67,0.87,0.83,1.74,1.0,1.43,10,0
9,proxy9,1.18,1.02,0.66,1.23,1.01,1.29,9,0
10,proxy10,0.64,0.98,0.97,0.66,1.0,0.57,4,0
11,proxy11,1.71,0.9,0.92,1.78,1.0,1.43,10,0
12,proxy12,0.38,0.92,0.81,0.39,1.0,0.71,5,0
13,proxy13,0.8,1.08,1.17,0.83,0.99,0.71,5,0
14,proxy14,0.76,0.96,0.97,0.79,0.99,0.71,5,0
15,proxy15,1.38,1.2,1.12,1.44,1.0,1.29,9,0
16,proxy16,1.52,1.16,1.1,1.58,1.0,1.43,10,0
17,proxy17,0.48,0.74,0.78,0.5,0.99,0.57,4,0
18,proxy18,1.0,0.88,0.91,1.04,1.0,0.86,6,0
19,proxy19,0.03,1.16,0.64,0.03,0.98,0.14,1,0
20,proxy20,0.67,1.3,0.84,0.7,0.99,0.57,4,0
21,proxy21,0.26,1.2,1.08,0.27,0.99,0.29,2,0
22,proxy22,1.23,1.35,1.1,1.28,1.0,1.14,8,0
23,proxy23,0.95,1.26,0.73,0.99,0.99,0.71,5,0
24,proxy24,1.56,1.37,0.79,1.63,1.0,1.43,10,0
25,proxy25,0.79,0.72,0.98,0.82,1.0,0.57,4,0
26,proxy26,2.25,0.86,0.86,2.34,1.01,1.71,12,0
27,proxy27,0.8,0.97,1.08,0.84,0.99,0.57,4,0
28,proxy28,0.71,1.16,0.87,0.74,0.99,0.57,4,0
29,proxy29,0.84,0.82,1.17,0.88,1.0,0.86,6,0
30,proxy30,0.67,1.21,1.14,0.7,1.0,0.86,6,0
31,proxy31,1.08,1.08,1.11,1.12,1.01,1.14,8,0
32,proxy32,0.45,1.25,0.86,0.46,0.99,0.43,3,0
33,proxy33,0.59,1.28,0.99,0.61,0.99,0.57,4,0
34,proxy34,1.8,0.79,0.65,1.88,1.01,1.43,10,0
35,proxy35,0.65,0.75,1.02,0.68,1.0,0.71,5,0
36,proxy36,0.59,0.89,1.05,0.61,0.99,0.43,3,0
37,proxy37,1.18,0.92,0.76,1.23,1.0,1.29,9,0
38,proxy38,1.62,0.77,0.62,1.68,1.0,1.29,9,0
39,proxy39,0.96,1.01,0.89,1.0,1.0,1.0,7,0
40,proxy40,1.63,0.81,1.19,1.7,1.0,1.14,8,0
41,proxy41,2.92,0.94,1.18,3.05,1.01,2.0,14,0
42,proxy42,21.69,0.69,5.48,0.66,8.48,3.57,5,0
43,proxy43,1.41,1.22,0.8,1.46,1.0,1.29,9,0
44,proxy44,26.03,0.79,4.37,1.32,8.97,4.0,8,0
45,proxy45,0.66,0.97,0.93,0.69,1.0,0.86,6,0
46,proxy46,1.66,1.35,0.69,1.73,1.01,1.43,10,0
47,proxy47,1.92,0.98,1.04,2.0,1.0,1.29,9,0
48,proxy48,2.67,1.01,0.72,2.78,1.01,2.0,14,0
49,proxy49,0.9,1.33,0.9,0.94,0.98,0.71,5,0
50,proxy50,1.05,1.08,0.61,1.09,1.01,1.29,9,0
51,proxy51,0.65,0.89,1.02,0.68,0.99,0.57,4,0
52,proxy52,1.02,0.72,1.13,1.06,1.0,1.0,7,0
53,proxy53,0.69,1.34,1.01,0.72,0.99,0.43,3,0
54,proxy54,1.66,1.2,0.93,1.73,1.01,1.29,9,0
55,proxy55,0.96,0.88,0.62,1.0,1.0,1.0,7,0
56,proxy56,0.18,1.24,0.89,0.19,0.98,0.29,2,0
57,proxy57,0.61,0.95,1.0,0.64,1.0,0.86,6,0
58,proxy58,31.36,1.25,4.68,1.7,9.29,4.0,8,0
59,proxy59,31.96,1.28,5.74,1.04,8.12,3.71,6,0
60,proxy60,1.05,1.21,1.1,1.09,1.0,0.86,6,0
61,proxy61,0.85,1.08,0.95,0.89,1.0,1.0,7,0
62,proxy62,0.13,0.75,1.1,0.14,0.99,0.29,2,0
63,proxy63,31.87,0.86,5.25,1.59,8.95,4.0,8,0
64,proxy64,1.0,1.24,0.67,1.05,1.0,1.0,7,0
65,proxy65,0.32,0.88,0.89,0.33,0.99,0.43,3,0
66,proxy66,0.37,0.91,0.72,0.38,0.99,0.43,3,0
67,proxy67,0.92,0.94,0.94,0.95,1.0,1.0,7,0
68,proxy68,0.64,1.33,1.0,0.66,0.99,0.86,6,0
69,proxy69,0.42,1.26,1.05,0.44,0.99,0.86,6,0
70,proxy70,0.2,0.76,0.97,0.21,0.99,0.29,2,0
71,proxy71,26.06,1.05,4.15,1.99,7.1,4.43,11,0
72,proxy72,0.51,1.34,1.05,0.54,1.0,0.57,4,0
73,proxy73,0.91,0.74,1.05,0.95,1.0,1.0,7,0
74,proxy74,1.22,0.82,0.95,1.27,1.0,1.29,9,0
75,proxy75,0.54,1.29,0.74,0.57,1.0,0.71,5,0
76,proxy76,1.19,1.3,0.72,1.24,0.99,0.71,5,0
77,proxy77,0.92,1.01,0.88,0.95,1.0,0.86,6,0
78,proxy78,0.53,0.94,0.68,0.55,0.99,0.57,4,0
79,proxy79,1.03,1.2,0.61,1.08,1.0,0.71,5,0
80,proxy80,1.76,1.37,1.05,1.84,1.02,1.86,13,0
81,proxy81,1.83,1.31,0.68,1.9,1.0,1.43,10,0
82,proxy82,1.55,0.98,0.96,1.62,1.0,1.29,9,0
83,proxy83,1.54,0.7,1.19,1.61,1.01,1.29,9,0
84,proxy84,1.29,0.9,1.13,1.35,1.0,1.14,8,0
85,proxy85,0.82,0.92,0.74,0.86,1.0,1.0,7,0
86,proxy86,18.94,1.26,6.36,1.67,7.63,4.57,12,0
87,proxy87,0.97,1.31,1.15,1.01,1.0,1.29,9,0
88,proxy88,0.96,1.01,0.96,1.0,1.0,1.0,7,0
89,proxy89,1.54,1.29,0.76,1.6,1.0,1.14,8,0
90,proxy90,28.97,1.05,4.49,1.15,6.75,3.71,6,0
91,proxy91,0.96,1.17,0.68,1.0,1.0,1.0,7,0
92,proxy92,0.76,1.13,1.17,0.79,1.0,0.86,6,0
93,proxy93,0.45,0.96,1.08,0.46,0.99,0.57,4,0
94,proxy94,0.81,0.85,0.8,0.85,1.0,0.71,5,0
95,proxy95,1.09,1.0,1.03,1.14,0.99,1.0,7,0
96,proxy96,0.12,0.76,0.63,0.13,0.98,0.14,1,0
97,proxy97,30.14,1.31,5.41,1.73,9.13,4.29,10,0
98,proxy98,0.98,0.98,0.89,1.03,1.0,0.86,6,0
99,proxy99,1.33,0.95,1.1,1.38,1.01,1.29,9,0
100,proxy100,1.47,0.84,0.88,1.53,1.01,1.29,9,0
101,proxy101,1.45,1.04,1.03,1.51,0.99,1.0,7,0
102,proxy102,26.2,1.0,5.47,0.85,8.8,3.57,5,0
103,proxy103,1.16,1.0,1.07,1.21,0.99,0.86,6,0
104,proxy104,0.84,1.14,1.13,0.88,1.01,1.14,8,0
105,proxy105,0.17,1.23,0.99,0.18,0.99,0.29,2,0
106,proxy106,30.93,0.75,5.76,0.61,10.71,3.43,4,0
107,proxy107,0.9,0.91,1.18,0.94,1.0,1.0,7,0
108,proxy108,30.54,1.31,5.34,1.5,6.3,4.0,8,0
109,proxy109,0.61,0.99,1.06,0.63,1.0,0.57,4,0
110,proxy110,0.64,0.97,1.18,0.67,1.0,0.71,5,0
111,proxy111,1.07,0.79,1.1,1.11,1.01,1.14,8,0
112,proxy112,0.19,0.91,1.18,0.19,0.99,0.43,3,0
113,proxy113,0.78,0.94,0.76,0.81,0.99,0.57,4,0
114,proxy114,0.61,0.94,1.18,0.64,1.0,0.86,6,0
115,proxy115,1.16,1.24,1.2,1.21,1.0,1.0,7,0
116,proxy116,1.91,0.71,1.2,1.99,1.01,1.86,13,0
117,proxy117,0.74,1.03,0.77,0.77,0.99,0.71,5,0
118,proxy118,1.83,0.77,0.78,1.91,1.01,1.57,11,0
119,proxy119,0.91,1.05,0.71,0.95,1.0,1.0,7,0
120,proxy120,0.64,1.19,0.96,0.67,0.99,0.71,5,0
121,proxy121,1.42,0.8,0.81,1.48,1.0,0.86,6,0
122,proxy122,1.27,1.24,0.87,1.32,1.0,1.14,8,0
123,proxy123,1.38,0.88,0.65,1.44,1.0,1.14,8,0
124,proxy124,1.46,0.82,1.02,1.52,1.01,1.29,9,0
125,proxy125,0.9,1.02,0.92,0.94,1.0,1.14,8,0
126,proxy126,0.4,1.12,1.07,0.42,0.99,0.29,2,0
127,proxy127,29.21,1.29,4.16,1.41,8.9,3.86,7,0
128,proxy128,1.39,0.98,1.12,1.45,1.0,0.86,6,0
129,proxy129,0.99,0.78,0.85,1.03,0.99,0.71,5,0
