id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,2.8800000000000003,3.617085053127768,11.501940791549307,0.28800000000000003,100,30,10
2,proxy2,1.28,3.9966245150399566,20.7046495702708,0.128,100,31,8
3,proxy3,3.1999999999999997,3.5716512681165904,22.449988885671363,0.32,100,38,14
4,proxy4,2.23,3.7809169376688425,19.278386263389,0.223,100,52,10
5,proxy5,3.5199999999999996,3.965483756054486,28.43684665414898,0.352,100,41,13
6,proxy6,2.3400000000000003,3.8806665453401807,25.239592376246634,0.234,100,30,10
7,proxy7,1.32,3.8807714470419765,26.420098715798414,0.132,100,28,7
8,proxy8,2.38,3.6427742225077866,19.5379377827747,0.238,100,33,10
9,proxy9,1.02,3.5500926239733506,13.184534844373253,0.10200000000000001,100,43,7
10,proxy10,2.72,3.8027982605439794,10.899566318680321,0.272,100,35,11
