id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.31,0.76,1.14,1.44,1.0,1.0,15,0
2,proxy2,1.28,0.99,1.01,1.41,1.0,1.2,18,0
3,proxy3,0.74,0.76,0.99,0.81,0.99,0.8,12,0
4,proxy4,0.82,1.31,1.12,0.9,1.0,0.93,14,0
5,proxy5,13.59,1.11,6.74,1.03,8.92,2.13,12,0
6,proxy6,14.86,0.7,3.64,189.56,4.52,0.73,11,1
7,proxy7,1.02,1.36,0.8,1.12,1.0,0.93,14,0
8,proxy8,13.76,1.16,5.29,1.22,6.81,2.4,16,0
9,proxy9,10.83,0.72,6.19,0.72,6.72,2.07,11,0
10,proxy10,0.86,1.01,0.67,0.95,1.01,1.07,16,0
11,proxy11,37.02,0.88,5.53,374.63,9.49,1.07,16,1
12,proxy12,20.77,1.29,2.86,225.6,5.48,1.13,17,1
13,proxy13,20.46,1.3,2.89,216.02,4.22,1.2,18,1
14,proxy14,1.17,0.73,0.76,1.29,1.0,1.07,16,0
15,proxy15,16.51,0.95,3.0,234.56,5.6,0.93,14,1
16,proxy16,32.52,1.16,6.8,216.81,11.89,2.4,16,1
17,proxy17,1.41,1.16,0.83,1.55,1.01,1.07,16,0
18,proxy18,0.98,1.12,0.73,1.08,1.0,1.0,15,0
19,proxy19,1.99,1.28,1.0,2.19,1.01,1.47,22,0
20,proxy20,0.87,0.86,1.13,0.95,1.0,0.93,14,0
21,proxy21,20.59,0.75,3.64,167.52,4.22,0.93,14,1
22,proxy22,22.13,1.12,2.84,182.55,5.49,0.87,13,1
23,proxy23,0.82,0.85,0.61,0.91,1.0,0.8,12,0
24,proxy24,0.58,0.73,0.83,0.64,0.98,0.47,7,0
25,proxy25,1.65,1.2,0.65,1.81,1.01,1.47,22,0
26,proxy26,0.48,0.78,0.65,0.53,0.99,0.47,7,0
27,proxy27,0.4,1.15,0.84,0.45,0.98,0.47,7,0
28,proxy28,1.2,1.27,1.07,1.32,1.0,1.0,15,0
29,proxy29,0.61,1.36,1.01,0.67,0.99,0.73,11,0
30,proxy30,0.7,0.95,1.19,0.77,1.0,0.8,12,0
31,proxy31,30.66,1.34,6.81,239.84,13.09,2.4,16,1
32,proxy32,1.09,1.14,0.62,1.2,1.01,1.07,16,0
33,proxy33,1.34,0.88,1.0,1.48,1.01,1.2,18,0
34,proxy34,0.78,0.9,1.04,0.86,0.99,0.8,12,0
35,proxy35,0.88,0.8,1.15,0.97,1.0,1.0,15,0
