id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,3.14,0.73,1.11,3.14,1.0,0.96,26,1
2,proxy2,2.72,1.2,0.95,2.72,0.99,0.81,22,1
3,proxy3,3.02,1.06,0.78,3.02,0.99,0.78,21,1
4,proxy4,1.31,1.0,1.36,1.31,1.01,1.15,31,0
5,proxy5,3.19,0.79,0.91,3.19,1.0,0.89,24,1
6,proxy6,0.86,1.12,1.03,0.86,1.0,1.07,29,0
7,proxy7,0.94,0.97,0.97,0.94,1.0,0.89,24,0
8,proxy8,0.89,0.92,1.37,0.89,1.0,0.85,23,0
9,proxy9,6.16,0.83,1.23,6.16,0.99,0.78,21,1
10,proxy10,1.06,1.0,0.93,1.06,1.0,1.0,27,0
11,proxy11,1.12,1.02,1.25,1.12,1.02,1.11,30,0
12,proxy12,3.69,0.98,0.95,3.69,1.0,1.0,27,1
13,proxy13,1.0,1.17,0.84,1.0,0.99,0.85,23,0
14,proxy14,2.86,0.71,0.91,2.86,0.99,0.78,21,1
15,proxy15,5.12,1.02,1.0,5.12,1.0,1.11,30,1
16,proxy16,1.08,0.97,1.0,1.08,1.01,1.15,31,0
17,proxy17,1.11,0.83,0.95,1.11,1.01,1.0,27,0
18,proxy18,0.6,1.21,0.78,0.6,0.98,0.63,17,0
19,proxy19,3.55,0.86,1.5,3.55,0.99,0.89,24,1
20,proxy20,0.66,0.85,1.4,0.66,1.01,0.81,22,0
