id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,40.725884531225546,6.626020889631879,100,34.85240474271068,100,497,82
2,proxy2,88.63304136291165,5.723471475103611,100,70.63660848729151,100,413,73
3,proxy3,107.93701673794368,6.135210977174412,100,65.58824725316065,100,601,108
4,proxy4,80.37966369721455,5.573514911696455,100,53.67551805732722,100,461,91
5,proxy5,75.91208732764245,5.862670516853125,100,55.92139021110628,100,523,90
6,proxy6,30.07000000000001,7.1092430432519,12.440777376766068,3.0069999999999983,100,529,101
7,proxy7,40.6809767498799,5.963984428364188,100,28.0824322081628,100,461,88
8,proxy8,119.3735058626193,5.722083387153232,100,146.3039794845412,100,496,91
9,proxy9,20.109999999999996,6.587701392721021,23.786462136158036,2.010999999999999,100,443,84
10,proxy10,61.62338490974764,5.947241770420035,100,45.31952213760732,100,472,92
