id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,19.370000000000008,5.469064984919596,11.759440791549306,1.936999999999999,100,450,85
2,proxy2,20.430000000000003,5.514133965388299,20.885549570270797,2.0429999999999997,100,420,82
3,proxy3,21.74000000000001,5.798547201650647,22.710988885671362,2.173999999999998,100,538,98
4,proxy4,17.470000000000006,5.8101590487878605,19.501386263388998,1.7469999999999997,100,411,73
5,proxy5,22.189999999999998,6.695902606131956,28.723846654148982,2.2189999999999985,100,521,96
6,proxy6,18.250000000000004,5.907472770440569,25.485992376246635,1.8249999999999993,100,455,88
7,proxy7,23.220000000000006,5.791166882197298,26.672098715798416,2.3219999999999987,100,474,92
8,proxy8,18.829999999999995,6.206001649289275,19.802137782774697,1.8829999999999987,100,474,96
9,proxy9,20.69,5.492712953148033,13.400134844373252,2.0689999999999995,100,464,90
10,proxy10,23.820000000000004,7.0681449851431495,11.184766318680321,2.381999999999998,100,554,100
