id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,18.04,0.84,3.54,189.63,4.88,0.83,12,1
2,proxy2,0.76,0.89,0.67,0.88,0.98,0.9,13,0
3,proxy3,1.07,0.87,0.9,1.24,1.01,1.1,16,0
4,proxy4,0.95,1.17,0.99,1.1,0.99,0.9,13,0
5,proxy5,1.0,1.06,0.85,1.16,1.0,0.9,13,0
6,proxy6,20.49,1.05,3.07,240.07,4.18,1.24,18,1
7,proxy7,20.29,0.83,3.06,172.65,4.89,1.31,19,1
8,proxy8,16.25,0.83,2.89,235.6,4.12,1.24,18,1
9,proxy9,12.6,1.32,4.21,0.97,10.14,2.28,13,0
10,proxy10,0.51,0.85,0.74,0.59,0.99,0.62,9,0
11,proxy11,1.02,1.12,1.05,1.18,0.99,0.9,13,0
12,proxy12,1.07,1.11,0.65,1.24,1.01,1.24,18,0
13,proxy13,18.43,1.14,3.4,216.21,4.52,0.62,9,1
14,proxy14,0.66,1.12,1.01,0.76,0.98,0.69,10,0
15,proxy15,12.17,1.29,3.95,1.39,9.14,2.55,17,0
16,proxy16,0.77,1.03,1.02,0.89,1.0,1.1,16,0
17,proxy17,18.25,1.41,3.59,240.58,5.8,1.52,22,1
18,proxy18,1.41,1.03,1.09,1.64,1.01,1.31,19,0
19,proxy19,0.82,0.98,1.07,0.95,1.0,0.9,13,0
20,proxy20,18.06,1.07,3.81,207.27,4.75,1.03,15,1
21,proxy21,14.03,0.75,5.01,0.76,6.16,2.21,12,0
22,proxy22,0.69,1.02,0.82,0.8,0.99,0.62,9,0
23,proxy23,14.26,1.06,3.75,1.03,5.97,2.28,13,0
24,proxy24,1.13,1.13,1.14,1.31,1.02,1.17,17,0
25,proxy25,0.97,0.92,0.99,1.12,1.0,1.03,15,0
26,proxy26,10.19,0.88,4.38,0.96,7.72,2.28,13,0
27,proxy27,18.54,0.9,2.88,240.42,5.0,1.17,17,1
28,proxy28,0.76,1.15,0.86,0.89,0.99,0.83,12,0
29,proxy29,1.19,0.72,0.97,1.38,1.01,1.17,17,0
30,proxy30,0.62,0.95,0.77,0.72,0.98,0.69,10,0
31,proxy31,1.0,0.88,0.66,1.15,0.99,0.97,14,0
32,proxy32,0.73,0.73,1.13,0.85,0.99,0.9,13,0
33,proxy33,18.63,1.06,3.06,200.98,4.15,1.1,16,1
34,proxy34,0.62,0.98,1.05,0.72,0.98,0.62,9,0
35,proxy35,1.11,0.93,0.71,1.28,1.0,1.17,17,0
