id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,16.440000000000005,4.905335430892057,11.708040791549307,1.6439999999999995,100,365,73
2,proxy2,17.730000000000008,5.3866924193142705,20.846449570270796,1.773,100,338,73
3,proxy3,19.490000000000006,5.078190753634401,22.658588885671364,1.948999999999999,100,440,88
4,proxy4,15.310000000000004,5.302371923366307,19.457286263388998,1.5309999999999997,100,338,66
5,proxy5,20.069999999999997,5.999663987660966,28.66764665414898,2.006999999999999,100,425,83
6,proxy6,16.78,5.242051241405054,25.434492376246634,1.6779999999999997,100,367,77
7,proxy7,20.800000000000008,5.590805033761684,26.618698715798416,2.0799999999999996,100,382,81
8,proxy8,16.929999999999996,5.570187753069161,19.745337782774698,1.692999999999999,100,378,86
9,proxy9,18.090000000000003,5.161591518332117,13.353534844373252,1.8089999999999997,100,374,81
10,proxy10,21.480000000000004,6.4169474280475525,11.130466318680321,2.147999999999998,100,454,92
