id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,4.07,0.81,0.8,4.07,1.0,1.13,26,1
2,proxy2,6.24,1.16,0.99,6.24,0.99,1.17,27,1
3,proxy3,0.64,0.62,1.13,0.64,0.98,0.74,17,0
4,proxy4,1.02,0.97,1.1,1.02,0.99,0.96,22,0
5,proxy5,0.88,1.11,0.68,0.88,1.0,1.04,24,0
6,proxy6,1.33,1.11,0.98,1.33,1.02,1.22,28,0
7,proxy7,0.88,1.14,1.1,0.88,1.0,0.96,22,0
8,proxy8,0.51,1.03,1.14,0.51,0.98,0.78,18,0
9,proxy9,4.33,1.18,1.02,4.33,1.01,1.09,25,1
10,proxy10,0.71,1.08,0.69,0.71,0.98,0.91,21,0
11,proxy11,1.59,1.13,1.02,1.59,1.03,1.48,34,0
12,proxy12,4.76,1.04,1.02,4.76,1.02,1.39,32,1
13,proxy13,0.98,0.84,0.79,0.98,1.0,0.96,22,0
14,proxy14,1.56,0.79,1.1,1.56,1.01,1.43,33,0
15,proxy15,1.34,0.95,0.61,1.34,1.0,1.13,26,0
16,proxy16,1.19,0.69,0.86,1.19,1.02,1.35,31,0
17,proxy17,3.5,1.0,1.12,3.5,1.01,1.17,27,1
18,proxy18,2.82,0.7,1.05,2.82,0.99,1.0,23,1
19,proxy19,4.12,0.73,1.01,4.12,0.98,0.7,16,1
20,proxy20,4.42,0.82,0.83,4.42,1.0,1.13,26,1
