id,normal,direct,slow,steal
75.80.183.108,1,0,0,0
222.14.108.37,1,0,0,0
242.38.2.124,1,0,0,0
122.165.8.12,1,0,0,0
60.137.64.161,1,0,0,0
157.74.89.169,1,0,0,0
113.100.217.36,1,0,0,0
251.102.246.229,1,0,0,0
171.56.85.23,1,0,0,0
112.102.163.8,1,0,0,0
236.86.101.129,1,0,0,0
31.162.72.107,1,0,0,0
127.154.60.54,1,0,0,0
150.231.195.30,1,0,0,0
114.115.41.56,1,0,0,0
23.55.122.170,1,0,0,0
132.151.76.140,1,0,0,0
57.5.204.140,1,0,0,0
154.230.178.107,1,0,0,0
90.76.249.133,1,0,0,0
141.40.216.117,1,0,0,0
66.50.139.91,1,0,0,0
99.86.75.131,1,0,0,0
253.69.89.189,1,0,0,0
178.16.32.137,1,0,0,0
148.228.185.179,1,0,0,0
129.26.76.72,1,0,0,0
222.52.255.151,1,0,0,0
2.42.155.45,1,0,0,0
232.196.32.39,1,0,0,0
173.66.215.139,1,0,0,0
183.158.90.3,1,0,0,0
106.245.230.34,1,0,0,0
148.37.101.64,1,0,0,0
156.116.233.31,1,0,0,0
129.186.148.30,1,0,0,0
184.65.194.77,1,0,0,0
148.8.41.26,1,0,0,0
101.249.18.102,1,0,0,0
220.161.124.107,1,0,0,0
68.202.151.150,0,0,0,1
213.239.159.112,1,0,0,0
134.21.2.36,1,0,0,0
21.39.111.229,1,0,0,0
93.239.125.50,1,0,0,0
61.112.166.142,1,0,0,0
21.91.188.142,1,0,0,0
227.224.152.166,1,0,0,0
239.216.228.219,1,0,0,0
181.111.202.181,1,0,0,0
10.30.49.130,1,0,0,0
151.116.146.27,1,0,0,0
136.20.89.173,1,0,0,0
48.136.201.71,1,0,0,0
171.183.36.173,1,0,0,0
221.96.1.35,1,0,0,0
216.137.255.183,1,0,0,0
157.203.31.175,1,0,0,0
129.245.56.185,1,0,0,0
40.33.231.163,1,0,0,0
82.119.26.233,1,0,0,0
64.163.146.42,1,0,0,0
51.137.13.132,1,0,0,0
10.123.134.71,1,0,0,0
217.144.231.150,1,0,0,0
176.138.239.206,1,0,0,0
186.80.249.149,1,0,0,0
4.55.132.50,1,0,0,0
35.93.199.245,1,0,0,0
110.94.48.237,1,0,0,0
91.228.87.19,1,0,0,0
34.213.176.30,1,0,0,0
59.51.61.18,1,0,0,0
244.192.168.202,1,0,0,0
106.246.104.248,1,0,0,0
47.79.22.192,1,0,0,0
221.158.3.140,1,0,0,0
76.132.120.250,1,0,0,0
87.218.105.104,1,0,0,0
234.62.130.11,1,0,0,0
47.86.121.124,1,0,0,0
58.18.91.125,1,0,0,0
8.189.203.136,1,0,0,0
39.98.69.24,1,0,0,0
148.28.164.178,1,0,0,0
