id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,12.040000000000001,4.609409735638359,11.621940791549306,1.2040000000000002,100,228,55
2,proxy2,11.560000000000002,4.900906713879152,20.786449570270797,1.1560000000000004,100,207,53
3,proxy3,16.790000000000006,4.723099890220036,22.572388885671362,1.6789999999999996,100,273,72
4,proxy4,11.650000000000002,4.481144628094452,19.380286263389,1.1650000000000003,100,215,51
5,proxy5,16.9,4.966784552314931,28.574146654148983,1.6899999999999988,100,265,69
6,proxy6,10.81,4.704240892847496,25.353792376246634,1.0810000000000002,100,225,56
7,proxy7,15.520000000000003,4.88094555371125,26.530798715798415,1.552,100,228,60
8,proxy8,14.009999999999996,4.779574806739875,19.650637782774698,1.4009999999999998,100,217,62
9,proxy9,11.290000000000001,4.260233366446212,13.27323484437325,1.1290000000000004,100,222,52
10,proxy10,16.770000000000003,5.517108877403247,11.033866318680323,1.6769999999999998,100,281,70
