id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.31,1.26,1.1,1.31,1.01,1.15,15,0
2,proxy2,0.86,0.96,1.08,0.86,0.99,0.92,12,0
3,proxy3,23.16,0.85,4.2,248.9,5.4,1.31,17,1
4,proxy4,1.54,1.0,1.25,1.54,1.01,1.38,18,0
5,proxy5,1.19,0.87,1.23,1.19,1.0,0.92,12,0
6,proxy6,1.73,1.18,1.27,1.73,1.01,1.46,19,0
7,proxy7,1.29,0.75,0.91,1.29,1.01,1.15,15,0
8,proxy8,0.75,1.19,0.92,0.75,0.99,0.77,10,0
9,proxy9,0.56,0.69,0.9,0.56,0.98,0.46,6,0
10,proxy10,1.24,0.78,1.03,1.24,1.01,1.08,14,0
11,proxy11,0.88,1.0,0.88,0.88,1.0,0.92,12,0
12,proxy12,0.76,1.23,0.97,0.76,0.99,1.15,15,0
13,proxy13,1.03,1.08,0.72,1.03,1.0,1.08,14,0
14,proxy14,0.68,1.23,1.14,0.68,1.01,0.85,11,0
15,proxy15,0.97,0.98,0.93,0.97,0.99,0.77,10,0
