id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,15.529999999999996,4.856637471430187,20.353982661389875,1.553,100,244,64
2,proxy2,28.136273552329317,4.462768677324775,68.6061095603494,36.229619812083754,100,241,56
3,proxy3,14.209999999999994,4.762345142890863,15.3750394555325,1.421,100,218,55
4,proxy4,46.77782732327101,4.613905048499137,32.08356550828905,19.49043171229222,100,228,58
5,proxy5,17.460000000000004,4.879149025795095,17.56034814936567,1.7459999999999993,100,293,71
6,proxy6,18.67,5.126156711892575,20.33199946475675,1.8669999999999995,100,261,66
7,proxy7,52.12364191887035,5.3632860330332495,100,53.82617317237505,100,285,56
8,proxy8,72.05596545434179,5.451595029649293,100,59.9910152230635,100,263,65
9,proxy9,13.22,4.818090750303657,26.6260284855042,1.3220000000000003,100,198,53
10,proxy10,12.840000000000002,4.80183936573738,13.417367319336437,1.2840000000000003,100,233,56
