id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.48,1.0,0.92,0.48,0.98,0.67,14,0
2,proxy2,1.03,0.91,1.02,1.03,1.02,1.24,26,0
3,proxy3,1.03,1.01,0.88,1.03,1.02,1.05,22,0
4,proxy4,1.03,1.11,1.05,1.03,0.99,0.86,18,0
5,proxy5,1.35,1.07,1.1,1.35,1.0,1.14,24,0
6,proxy6,11.46,0.84,3.75,123.61,4.2,0.95,20,1
7,proxy7,0.72,0.94,0.92,0.72,0.98,0.67,14,0
8,proxy8,0.82,0.61,0.97,0.82,0.98,0.76,16,0
9,proxy9,0.9,1.14,1.0,0.9,1.0,1.19,25,0
10,proxy10,1.0,0.64,1.13,1.0,1.0,1.0,21,0
