id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.58,1.32,1.01,1.64,1.01,1.38,11,0
2,proxy2,1.12,1.09,1.11,1.17,1.01,1.25,10,0
3,proxy3,0.6,0.81,1.13,0.63,0.99,0.88,7,0
4,proxy4,0.88,1.0,0.71,0.92,0.99,1.0,8,0
5,proxy5,22.87,0.81,4.53,1.21,6.78,3.62,9,0
6,proxy6,19.76,0.85,5.22,0.66,6.13,3.12,5,0
7,proxy7,1.74,0.86,1.12,1.81,1.0,1.25,10,0
8,proxy8,20.17,0.93,5.27,1.09,7.06,3.62,9,0
9,proxy9,1.06,1.13,0.9,1.11,1.0,0.88,7,0
10,proxy10,1.06,1.27,0.88,1.1,0.99,1.0,8,0
11,proxy11,1.57,0.87,1.1,1.63,1.01,1.38,11,0
12,proxy12,0.83,0.84,0.99,0.86,0.99,0.75,6,0
13,proxy13,28.01,0.87,6.83,2.26,7.09,4.0,12,0
14,proxy14,0.58,0.99,0.82,0.61,1.0,0.62,5,0
15,proxy15,1.21,1.1,0.99,1.26,1.0,1.12,9,0
16,proxy16,0.55,1.28,0.98,0.58,0.98,0.62,5,0
17,proxy17,1.27,0.72,0.76,1.32,1.01,1.5,12,0
18,proxy18,0.57,1.17,0.98,0.59,0.99,0.5,4,0
19,proxy19,0.59,1.24,0.91,0.61,0.99,0.62,5,0
20,proxy20,0.57,1.22,0.67,0.59,0.99,0.62,5,0
21,proxy21,0.9,1.07,0.78,0.94,0.99,1.0,8,0
22,proxy22,1.65,1.0,0.93,1.72,1.01,1.75,14,0
23,proxy23,0.66,1.06,1.17,0.69,1.0,0.62,5,0
24,proxy24,0.65,0.97,1.08,0.68,0.99,0.88,7,0
25,proxy25,0.78,0.88,0.78,0.81,0.99,0.62,5,0
26,proxy26,0.83,1.2,0.78,0.87,0.99,0.75,6,0
27,proxy27,1.93,1.29,0.71,2.01,1.02,1.75,14,0
28,proxy28,2.3,1.27,0.76,2.39,1.02,1.75,14,0
29,proxy29,1.33,1.19,0.85,1.39,1.0,1.25,10,0
30,proxy30,1.2,1.13,1.02,1.25,1.01,1.25,10,0
31,proxy31,24.12,1.08,5.57,0.9,9.93,3.38,7,0
32,proxy32,1.58,0.81,1.06,1.64,1.01,1.38,11,0
33,proxy33,0.45,1.11,1.16,0.47,0.99,0.5,4,0
34,proxy34,0.88,0.8,1.15,0.91,1.01,1.12,9,0
35,proxy35,1.09,0.88,0.96,1.13,1.0,1.12,9,0
36,proxy36,2.41,0.98,1.14,2.51,1.02,1.75,14,0
37,proxy37,0.79,1.3,0.7,0.82,0.99,1.0,8,0
38,proxy38,1.55,1.14,0.69,1.61,1.02,1.5,12,0
39,proxy39,0.97,1.18,1.14,1.01,1.0,1.0,8,0
40,proxy40,0.62,0.76,0.97,0.65,1.0,0.75,6,0
41,proxy41,1.37,1.0,1.12,1.43,1.01,1.25,10,0
42,proxy42,1.1,0.72,0.8,1.14,1.0,1.25,10,0
43,proxy43,1.09,0.96,0.99,1.13,1.0,1.12,9,0
44,proxy44,1.52,0.88,1.17,1.59,1.01,1.25,10,0
45,proxy45,22.46,0.8,5.18,1.32,7.46,3.88,11,0
46,proxy46,0.64,0.8,1.11,0.66,0.99,0.62,5,0
47,proxy47,16.92,0.94,4.28,0.94,6.05,3.38,7,0
48,proxy48,0.52,1.29,0.97,0.54,1.0,0.75,6,0
49,proxy49,0.71,1.04,1.08,0.74,0.99,0.62,5,0
50,proxy50,0.86,1.12,1.15,0.9,1.01,1.0,8,0
51,proxy51,0.71,1.29,0.82,0.74,1.0,0.75,6,0
52,proxy52,0.75,0.96,0.67,0.78,0.99,0.75,6,0
53,proxy53,1.16,0.91,1.08,1.2,1.0,0.88,7,0
54,proxy54,0.58,0.97,1.12,0.61,0.99,0.75,6,0
55,proxy55,0.68,1.13,0.7,0.71,0.98,0.62,5,0
56,proxy56,1.26,1.33,1.11,1.31,1.0,1.12,9,0
57,proxy57,0.94,0.88,0.77,0.98,0.98,0.62,5,0
58,proxy58,0.96,0.85,1.13,1.0,1.0,1.0,8,0
59,proxy59,0.47,0.81,0.92,0.49,0.99,0.75,6,0
60,proxy60,1.11,0.71,0.84,1.16,1.0,1.12,9,0
61,proxy61,45.26,1.3,8.94,0.84,13.0,6.0,8,0
62,proxy62,1.83,1.18,0.69,1.9,1.0,1.75,14,0
63,proxy63,1.46,1.21,1.04,1.52,1.01,1.38,11,0
64,proxy64,0.54,1.31,0.79,0.56,0.98,0.38,3,0
65,proxy65,1.3,1.31,0.96,1.35,1.0,1.12,9,0
66,proxy66,0.87,0.73,1.0,0.9,1.0,0.88,7,0
67,proxy67,0.67,1.3,1.06,0.7,1.0,0.75,6,0
68,proxy68,0.9,1.35,1.04,0.94,1.0,0.88,7,0
69,proxy69,0.98,0.78,0.93,1.02,1.0,1.38,11,0
70,proxy70,0.49,0.81,0.89,0.51,0.99,0.62,5,0
71,proxy71,19.3,0.97,6.81,1.26,9.47,3.38,7,0
72,proxy72,0.43,1.13,1.01,0.45,0.99,0.62,5,0
73,proxy73,0.96,0.88,1.0,1.0,1.0,1.0,8,0
74,proxy74,1.55,0.79,0.72,1.61,1.0,1.5,12,0
75,proxy75,1.22,1.27,1.08,1.27,1.0,1.0,8,0
76,proxy76,1.56,1.35,0.63,1.62,0.99,1.25,10,0
77,proxy77,2.13,1.28,0.68,2.22,1.01,1.62,13,0
78,proxy78,17.11,1.3,4.06,1.67,6.15,3.75,10,0
79,proxy79,1.15,0.87,0.75,1.2,1.0,1.0,8,0
80,proxy80,19.93,0.8,5.26,1.38,8.65,3.62,9,0
81,proxy81,0.77,1.24,0.71,0.8,0.99,0.62,5,0
82,proxy82,0.52,1.1,1.05,0.54,0.99,0.62,5,0
83,proxy83,25.12,1.0,5.82,1.4,7.96,3.38,7,0
84,proxy84,0.95,1.17,0.79,0.98,0.99,0.88,7,0
85,proxy85,1.24,1.27,0.85,1.29,1.0,1.12,9,0
86,proxy86,0.87,1.31,1.2,0.91,0.99,0.88,7,0
87,proxy87,1.2,1.04,1.07,1.25,1.0,1.12,9,0
88,proxy88,0.51,1.23,1.04,0.53,0.99,0.62,5,0
89,proxy89,0.9,0.84,0.85,0.94,1.0,0.75,6,0
90,proxy90,13.98,0.77,4.87,1.64,8.73,3.75,10,0
91,proxy91,0.48,0.76,0.75,0.5,0.99,0.62,5,0
92,proxy92,1.0,0.77,0.69,1.04,1.0,1.25,10,0
93,proxy93,1.0,1.0,1.22,1.04,1.0,0.88,7,0
94,proxy94,19.29,1.15,6.73,1.79,6.82,3.88,11,0
95,proxy95,0.97,0.85,0.94,1.01,1.0,0.75,6,0
96,proxy96,0.47,0.9,1.1,0.48,0.99,0.5,4,0
97,proxy97,25.11,0.87,6.59,0.85,9.88,3.38,7,0
98,proxy98,0.81,0.9,0.94,0.84,1.0,1.12,9,0
99,proxy99,0.63,1.22,0.78,0.66,0.99,0.75,6,0
100,proxy100,0.64,0.82,1.03,0.66,1.0,0.88,7,0
