id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.47,0.91,0.84,1.72,1.01,1.05,29,0
2,proxy2,0.55,1.12,0.82,0.64,0.97,0.51,14,0
3,proxy3,1.32,1.0,1.75,0.67,2.02,1.27,15,0
4,proxy4,1.02,1.0,3.05,0.54,1.97,1.31,16,0
5,proxy5,0.98,0.98,0.9,1.15,0.99,0.84,23,0
6,proxy6,1.2,1.26,2.5,0.99,3.32,1.56,23,0
7,proxy7,0.86,0.97,0.89,1.01,0.97,0.76,21,0
8,proxy8,1.46,1.22,3.09,1.06,3.03,1.56,23,0
9,proxy9,0.88,1.0,0.85,1.02,0.99,0.95,26,0
10,proxy10,0.44,0.79,1.1,0.52,0.96,0.36,10,0
