id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,5.77,0.91,0.76,5.77,1.01,1.06,17,1
2,proxy2,4.87,0.85,0.9,4.87,1.02,1.06,17,1
3,proxy3,3.78,0.66,1.23,3.78,1.01,0.81,13,1
4,proxy4,1.0,1.0,1.0,1.0,1.0,1.0,16,0
5,proxy5,4.63,0.79,0.84,4.63,0.98,0.5,8,1
6,proxy6,0.82,0.88,1.14,0.82,1.02,1.0,16,0
7,proxy7,0.85,1.0,0.84,0.85,1.01,0.94,15,0
8,proxy8,1.09,1.17,0.83,1.09,1.01,1.19,19,0
9,proxy9,0.93,0.78,0.95,0.93,0.99,0.69,11,0
10,proxy10,6.05,0.66,0.89,6.05,1.01,1.12,18,1
11,proxy11,1.01,1.13,1.22,1.01,1.0,0.88,14,0
12,proxy12,1.35,0.73,0.78,1.35,1.0,1.06,17,0
13,proxy13,1.1,0.64,0.97,1.1,1.0,1.06,17,0
14,proxy14,0.69,0.73,1.16,0.69,0.99,0.62,10,0
15,proxy15,1.04,1.0,1.24,1.04,1.0,0.94,15,0
16,proxy16,4.62,1.18,1.12,4.62,0.99,0.69,11,1
17,proxy17,0.98,1.0,0.75,0.98,1.0,1.0,16,0
18,proxy18,1.04,1.07,1.01,1.04,1.01,1.0,16,0
19,proxy19,0.58,0.84,1.19,0.58,1.0,0.75,12,0
20,proxy20,4.53,0.98,1.0,4.53,1.02,1.38,22,1
