id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,16.730000000000004,5.619161195006676,28.66643325213954,1.6729999999999998,100,318,74
2,proxy2,20.82,6.449025018702386,18.743302392686754,2.0819999999999994,100,418,88
3,proxy3,18.310000000000002,5.863174772015611,10.996764051176642,1.8309999999999997,100,364,78
4,proxy4,15.960000000000004,5.497868308084398,16.027279313381612,1.595999999999999,100,351,73
5,proxy5,18.79,5.779539055746856,14.56064296399528,1.8789999999999982,100,488,94
6,proxy6,17.330000000000002,5.615294617501607,27.04782469598106,1.7329999999999994,100,411,79
7,proxy7,18.039999999999996,5.440286166794548,13.430971913293684,1.803999999999999,100,380,82
8,proxy8,14.899999999999999,5.210709955678732,21.959652634147318,1.49,100,381,72
9,proxy9,16.49,4.829635965077774,25.03341124136581,1.6489999999999996,100,414,78
10,proxy10,19.91000000000001,5.608778247779827,17.351672407063056,1.9909999999999997,100,419,82
