id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.8,1.25,1.24,0.8,1.0,1.0,6,0
2,proxy2,1.54,0.79,0.84,1.54,1.0,1.33,8,0
3,proxy3,0.72,1.0,1.15,0.72,1.0,1.0,6,0
4,proxy4,1.05,1.16,0.68,1.05,1.0,1.0,6,0
5,proxy5,0.25,1.15,0.99,0.25,0.99,0.5,3,0
6,proxy6,1.25,0.94,1.13,1.25,0.99,1.33,8,0
7,proxy7,1.0,1.34,1.18,1.0,0.99,1.0,6,0
8,proxy8,0.96,1.16,1.21,0.96,0.99,1.0,6,0
9,proxy9,1.63,0.83,1.01,1.63,1.0,1.5,9,0
10,proxy10,0.84,0.72,0.88,0.84,0.99,0.83,5,0
11,proxy11,0.56,1.07,0.75,0.56,0.99,0.67,4,0
12,proxy12,1.4,0.7,1.0,1.4,1.0,1.17,7,0
13,proxy13,1.61,0.99,0.65,1.61,1.01,2.0,12,0
14,proxy14,0.89,1.38,1.17,0.89,1.01,1.17,7,0
15,proxy15,1.34,0.98,0.98,1.34,1.0,1.17,7,0
