id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,14.37,0.97,4.36,1.24,5.86,2.28,13,0
2,proxy2,0.55,1.08,0.64,0.57,1.0,0.62,9,0
3,proxy3,1.49,0.68,1.22,1.54,1.02,1.45,21,0
4,proxy4,0.95,1.06,1.01,0.98,1.0,1.1,16,0
5,proxy5,1.31,0.68,0.91,1.36,1.03,1.45,21,0
6,proxy6,1.5,0.98,1.08,1.55,1.01,1.38,20,0
7,proxy7,0.95,1.11,1.2,0.99,0.99,0.9,13,0
8,proxy8,1.08,1.24,0.76,1.12,1.01,1.17,17,0
9,proxy9,25.79,1.24,8.34,196.82,12.75,2.55,17,1
10,proxy10,1.09,0.8,1.12,1.13,1.0,0.9,13,0
11,proxy11,17.16,1.22,4.09,165.45,4.29,0.62,9,1
12,proxy12,0.66,0.76,0.82,0.69,0.99,0.76,11,0
13,proxy13,13.78,0.9,5.59,0.62,6.25,2.21,12,0
14,proxy14,1.11,0.75,0.8,1.15,1.01,1.24,18,0
15,proxy15,15.09,1.27,3.68,208.84,5.16,1.31,19,1
16,proxy16,1.17,1.06,1.19,1.21,1.0,1.03,15,0
17,proxy17,0.71,1.1,1.22,0.74,0.99,0.69,10,0
18,proxy18,16.55,0.68,3.8,192.51,4.91,0.97,14,1
19,proxy19,17.75,0.92,3.19,172.74,5.63,1.31,19,1
20,proxy20,0.98,0.99,0.67,1.01,1.0,1.03,15,0
21,proxy21,0.33,1.17,0.86,0.35,0.98,0.41,6,0
22,proxy22,0.96,1.2,0.99,0.99,1.0,0.9,13,0
23,proxy23,16.73,1.06,3.17,152.29,5.77,0.76,11,1
24,proxy24,18.44,1.09,3.12,163.71,5.53,1.1,16,1
25,proxy25,12.09,1.24,4.96,1.33,8.67,2.69,19,0
26,proxy26,14.94,0.98,3.33,149.61,4.95,1.24,18,1
27,proxy27,0.53,0.98,0.67,0.55,0.99,0.69,10,0
28,proxy28,1.36,1.06,0.98,1.41,1.02,1.31,19,0
29,proxy29,0.57,0.93,0.98,0.59,0.98,0.69,10,0
30,proxy30,0.49,0.72,1.15,0.51,0.98,0.69,10,0
31,proxy31,1.02,0.88,1.02,1.05,0.99,0.83,12,0
32,proxy32,20.72,1.15,3.27,212.83,5.48,0.9,13,1
33,proxy33,0.75,1.21,0.71,0.77,0.99,0.9,13,0
34,proxy34,0.97,1.01,0.69,1.01,1.0,0.97,14,0
35,proxy35,12.3,1.29,6.46,0.73,9.88,2.34,14,0
