id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.21,1.26,0.84,1.21,1.01,1.31,34,0
2,proxy2,6.34,0.74,0.69,6.34,1.01,1.15,30,1
3,proxy3,0.9,0.89,0.99,0.9,1.0,0.88,23,0
4,proxy4,0.9,1.17,1.01,0.9,0.99,0.81,21,0
5,proxy5,1.17,0.89,1.33,1.17,1.02,1.19,31,0
6,proxy6,1.02,0.94,1.28,1.02,0.99,0.85,22,0
7,proxy7,2.66,0.97,1.29,2.66,0.97,0.69,18,1
8,proxy8,1.25,0.69,0.95,1.25,1.0,1.15,30,0
9,proxy9,0.95,0.93,1.3,0.95,1.0,1.0,26,0
10,proxy10,5.38,0.67,1.08,5.38,1.0,0.77,20,1
11,proxy11,3.55,0.9,1.0,3.55,0.96,0.58,15,1
12,proxy12,3.81,1.08,0.93,3.81,0.97,0.81,21,1
13,proxy13,0.71,1.11,0.83,0.71,0.97,0.62,16,0
14,proxy14,1.15,1.06,1.01,1.15,1.0,1.15,30,0
15,proxy15,5.91,0.74,0.75,5.91,1.01,1.12,29,1
16,proxy16,1.32,0.94,1.33,1.32,1.01,1.23,32,0
17,proxy17,1.23,1.22,0.96,1.23,1.01,1.15,30,0
18,proxy18,0.79,0.81,0.93,0.79,0.98,0.85,22,0
19,proxy19,0.8,1.24,0.91,0.8,0.99,1.0,26,0
20,proxy20,0.98,1.13,1.14,0.98,1.01,0.92,24,0
