id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,52.73,0.97,5.9,458.95,9.31,1.44,13,1
2,proxy2,1.06,1.28,0.9,1.06,1.0,1.0,9,0
3,proxy3,1.59,1.05,1.14,1.59,1.0,1.44,13,0
4,proxy4,0.94,1.19,1.02,0.94,1.0,1.0,9,0
5,proxy5,31.9,1.0,3.43,269.31,5.6,1.33,12,1
6,proxy6,0.71,0.95,1.02,0.71,1.0,0.89,8,0
7,proxy7,0.49,0.85,1.11,0.49,0.98,0.56,5,0
8,proxy8,0.48,1.15,0.91,0.48,0.99,0.78,7,0
9,proxy9,1.17,0.88,0.98,1.17,1.01,1.56,14,0
10,proxy10,1.39,0.74,0.78,1.39,1.0,1.11,10,0
