id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,3.48,1.03,1.22,3.48,1.0,0.87,20,1
2,proxy2,0.59,1.05,0.81,0.59,1.0,0.78,18,0
3,proxy3,1.03,1.0,1.0,1.03,1.02,1.13,26,0
4,proxy4,3.71,1.23,1.07,3.71,1.03,1.48,34,1
5,proxy5,3.44,0.86,1.32,3.44,1.02,1.3,30,1
6,proxy6,1.02,0.84,1.17,1.02,1.0,1.0,23,0
7,proxy7,0.72,1.1,1.02,0.72,0.99,0.87,20,0
8,proxy8,2.75,0.9,0.99,2.75,1.0,0.91,21,1
9,proxy9,3.54,1.01,1.35,3.54,1.02,1.13,26,1
10,proxy10,3.33,1.1,1.32,3.33,1.01,1.13,26,1
11,proxy11,5.55,0.78,1.07,5.55,1.01,1.09,25,1
12,proxy12,1.62,0.87,0.81,1.62,1.02,1.48,34,0
13,proxy13,3.53,1.04,1.28,3.53,1.01,0.83,19,1
14,proxy14,4.28,0.81,0.88,4.28,1.01,1.43,33,1
15,proxy15,3.72,0.98,1.07,3.72,1.0,0.91,21,1
16,proxy16,1.0,1.29,0.85,1.0,1.02,1.09,25,0
17,proxy17,0.74,0.99,1.41,0.74,0.99,0.78,18,0
18,proxy18,3.4,0.84,1.43,3.4,1.03,1.39,32,1
19,proxy19,4.06,0.85,1.14,4.06,1.01,0.96,22,1
20,proxy20,3.04,0.84,1.12,3.04,1.03,1.17,27,1
