id,normal,abnormal,unknown
234.217.81.9,1,0,0
16.35.182.243,1,0,0
26.129.23.36,1,0,0
236.40.102.131,1,0,0
222.246.20.156,1,0,0
18.202.40.17,1,0,0
3.126.4.117,1,0,0
125.5.150.24,1,0,0
205.185.125.147,1,0,0
131.67.151.196,1,0,0
184.153.149.6,1,0,0
226.18.118.158,0,1,0
128.116.34.241,1,0,0
207.174.210.213,1,0,0
227.107.66.74,1,0,0
249.213.42.116,1,0,0
230.107.119.176,1,0,0
46.196.195.157,1,0,0
242.165.79.219,1,0,0
20.153.250.141,1,0,0
62.82.9.183,1,0,0
20.26.194.85,1,0,0
141.12.95.10,1,0,0
135.229.94.143,1,0,0
215.116.76.59,1,0,0
175.21.112.161,1,0,0
252.209.77.164,1,0,0
225.52.50.23,1,0,0
127.137.195.179,1,0,0
167.16.49.174,1,0,0
190.108.237.35,1,0,0
52.89.5.80,1,0,0
206.252.220.170,1,0,0
100.113.26.149,1,0,0
26.187.160.74,1,0,0
246.55.204.252,1,0,0
109.4.48.84,1,0,0
230.1.161.119,1,0,0
213.135.200.123,1,0,0
19.253.153.22,1,0,0
141.166.233.67,1,0,0
59.26.53.55,1,0,0
194.198.241.35,0,1,0
122.17.164.202,1,0,0
251.242.68.81,1,0,0
167.189.101.114,1,0,0
140.241.178.49,1,0,0
130.177.99.177,1,0,0
231.87.149.200,0,1,0
12.220.157.35,1,0,0
240.228.184.5,0,1,0
102.132.66.30,0,1,0
192.224.86.129,1,0,0
205.210.123.240,1,0,0
216.14.180.6,1,0,0
221.120.88.100,1,0,0
199.58.237.219,1,0,0
153.207.68.55,1,0,0
216.122.15.198,1,0,0
99.69.112.126,1,0,0
9.212.195.165,1,0,0
92.116.15.39,0,1,0
37.109.98.5,1,0,0
245.26.201.137,1,0,0
204.99.119.94,1,0,0
169.81.10.147,1,0,0
187.252.172.223,1,0,0
42.190.224.132,1,0,0
247.176.27.213,1,0,0
192.50.164.223,1,0,0
194.49.134.95,1,0,0
252.150.226.12,1,0,0
52.250.149.116,1,0,0
221.25.226.246,0,1,0
