id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.85,1.22,1.11,0.85,1.0,0.81,21,0
2,proxy2,0.76,0.99,1.01,0.76,0.98,0.69,18,0
3,proxy3,0.98,0.67,1.16,0.98,1.02,1.08,28,0
4,proxy4,1.21,1.27,1.13,1.21,1.03,1.12,29,0
5,proxy5,1.08,0.78,0.65,1.08,1.02,1.23,32,0
6,proxy6,1.07,0.69,1.19,1.07,0.98,0.92,24,0
7,proxy7,1.16,0.76,1.07,1.16,1.0,1.23,32,0
8,proxy8,1.01,0.66,0.99,1.01,1.01,1.04,27,0
9,proxy9,0.78,1.08,0.81,0.78,0.98,0.77,20,0
10,proxy10,0.91,1.01,0.63,0.91,1.0,1.0,26,0
11,proxy11,1.03,0.66,1.01,1.03,1.0,0.96,25,0
12,proxy12,1.13,1.23,0.61,1.13,1.01,1.15,30,0
13,proxy13,0.51,1.09,1.07,0.51,0.96,0.5,13,0
14,proxy14,1.12,1.23,0.7,1.12,1.0,0.96,25,0
15,proxy15,0.6,1.02,0.96,0.6,0.99,0.65,17,0
16,proxy16,1.35,0.7,0.99,1.35,1.0,1.12,29,0
17,proxy17,0.93,0.77,0.87,0.93,1.01,1.04,27,0
18,proxy18,1.02,0.95,0.95,1.02,0.99,1.04,27,0
19,proxy19,0.99,1.16,1.01,0.99,1.0,1.0,26,0
20,proxy20,0.84,1.03,1.13,0.84,1.0,0.92,24,0
