id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.74,1.15,0.94,0.88,0.96,0.85,33,0
2,proxy2,0.85,0.81,0.91,1.01,0.98,0.9,35,0
3,proxy3,0.78,1.04,0.77,0.93,0.97,0.67,26,0
4,proxy4,1.4,1.07,1.32,1.1,3.71,1.46,37,0
5,proxy5,1.48,1.19,2.12,1.26,3.56,1.41,35,0
6,proxy6,1.87,1.0,3.88,1.58,4.42,2.18,45,0
7,proxy7,1.58,0.7,3.2,1.31,4.95,2.03,39,0
8,proxy8,1.26,1.12,2.12,1.0,2.51,1.23,28,0
9,proxy9,1.09,0.93,0.7,1.3,1.0,1.0,39,0
10,proxy10,0.56,1.13,0.67,0.67,0.98,0.64,25,0
11,proxy11,1.0,0.81,1.23,0.69,3.32,1.18,26,0
12,proxy12,0.74,0.7,0.96,0.88,0.97,0.59,23,0
13,proxy13,0.78,0.71,1.0,0.93,0.98,0.77,30,0
14,proxy14,0.69,0.71,0.71,0.83,0.96,0.82,32,0
15,proxy15,1.55,1.08,1.96,1.51,2.72,1.72,47,0
