id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.75,0.77,1.05,0.75,0.98,0.82,21,0
2,proxy2,1.16,1.01,0.86,1.16,1.01,1.14,29,0
3,proxy3,0.94,1.07,1.01,0.94,0.99,0.82,21,0
4,proxy4,0.78,1.08,1.27,0.78,1.0,0.82,21,0
5,proxy5,1.1,0.72,1.01,1.1,1.02,1.25,32,0
6,proxy6,0.6,0.82,1.07,0.6,0.99,0.75,19,0
7,proxy7,0.87,0.99,1.3,0.87,0.98,0.78,20,0
8,proxy8,1.01,0.82,0.69,1.01,1.0,0.86,22,0
9,proxy9,0.99,1.05,0.85,0.99,1.01,1.14,29,0
10,proxy10,1.32,0.98,0.83,1.32,1.02,1.33,34,0
11,proxy11,1.05,1.17,0.72,1.05,1.01,1.06,27,0
12,proxy12,0.81,1.11,0.83,0.81,0.99,0.9,23,0
13,proxy13,0.65,0.84,0.82,0.65,0.98,0.78,20,0
14,proxy14,0.99,0.96,1.28,0.99,1.01,1.02,26,0
15,proxy15,1.01,1.17,0.99,1.01,1.01,1.02,26,0
16,proxy16,1.07,1.22,1.04,1.07,1.01,1.06,27,0
17,proxy17,1.08,1.02,0.82,1.08,0.98,1.06,27,0
18,proxy18,1.09,0.82,1.1,1.09,1.0,0.98,25,0
19,proxy19,0.66,1.14,1.04,0.66,0.99,0.82,21,0
20,proxy20,1.01,0.84,0.8,1.01,1.0,1.18,30,0
