id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.89,0.68,1.38,0.89,1.01,1.02,24,0
2,proxy2,1.05,1.24,1.21,1.05,1.01,1.45,34,0
3,proxy3,1.13,0.71,1.25,1.13,1.01,1.15,27,0
4,proxy4,1.08,0.67,1.3,1.08,1.01,1.15,27,0
5,proxy5,0.93,1.0,1.24,0.93,1.0,0.94,22,0
6,proxy6,1.23,1.27,1.25,1.23,1.01,1.45,34,0
7,proxy7,0.73,1.25,0.81,0.73,1.0,0.89,21,0
8,proxy8,0.7,0.84,0.87,0.7,0.98,0.68,16,0
9,proxy9,0.83,0.87,0.71,0.83,1.0,0.85,20,0
10,proxy10,1.67,0.99,1.01,1.67,1.04,1.74,41,0
11,proxy11,0.63,0.76,0.79,0.63,0.98,0.77,18,0
12,proxy12,0.74,1.28,0.93,0.74,0.98,0.85,20,0
13,proxy13,0.98,0.84,0.72,0.98,1.0,0.98,23,0
14,proxy14,1.04,1.31,0.86,1.04,1.02,1.32,31,0
15,proxy15,1.21,1.0,1.05,1.21,0.99,1.19,28,0
16,proxy16,1.18,1.32,0.7,1.18,1.0,1.28,30,0
17,proxy17,1.19,1.19,1.24,1.19,1.01,1.32,31,0
18,proxy18,0.43,1.11,0.75,0.43,0.97,0.51,12,0
19,proxy19,1.02,0.71,0.99,1.02,1.0,0.94,22,0
20,proxy20,0.81,1.27,1.25,0.81,0.97,0.81,19,0
