id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.79,0.83,0.85,0.79,0.99,0.78,20,0
2,proxy2,1.27,0.7,0.88,1.27,1.0,1.14,29,0
3,proxy3,0.62,1.09,1.24,0.62,0.99,0.67,17,0
4,proxy4,1.03,1.03,1.33,1.03,1.0,0.94,24,0
5,proxy5,0.7,0.85,0.8,0.7,1.01,0.98,25,0
6,proxy6,1.1,0.86,1.0,1.1,1.01,1.25,32,0
7,proxy7,0.75,0.85,1.21,0.75,0.98,0.63,16,0
8,proxy8,1.1,1.06,1.17,1.1,1.0,1.14,29,0
9,proxy9,1.0,1.13,1.04,1.0,1.0,0.94,24,0
10,proxy10,1.14,1.07,1.01,1.14,1.03,1.1,28,0
11,proxy11,0.93,1.12,0.88,0.93,1.0,1.06,27,0
12,proxy12,0.68,1.18,1.39,0.68,0.99,0.75,19,0
13,proxy13,0.95,0.97,1.0,0.95,0.99,0.9,23,0
14,proxy14,1.12,0.61,0.87,1.12,1.0,1.1,28,0
15,proxy15,0.92,0.63,0.73,0.92,1.02,1.02,26,0
16,proxy16,1.41,0.64,0.79,1.41,1.03,1.25,32,0
17,proxy17,1.14,1.12,0.82,1.14,1.0,1.06,27,0
18,proxy18,0.73,0.76,0.81,0.73,0.98,0.78,20,0
19,proxy19,1.11,1.2,1.2,1.11,1.01,1.18,30,0
20,proxy20,1.0,1.07,1.31,1.0,0.99,0.94,24,0
