id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,1.97,23.651613345526073,19.282764360484784,0.19700000000000004,11.1,7,7,0
2,proxy2,1.46,23.492278273812047,11.446356767515315,0.14600000000000002,13.1,11,11,0
3,proxy3,2.37,28.270399527682464,27.756955289380024,0.237,12.600000000000001,9,9,0
4,proxy4,1.33,29.575183185574815,25.298688696664616,0.133,12.1,7,7,0
5,proxy5,1.21,16.113321595501613,25.31656843947636,0.121,10.9,6,6,0
6,proxy6,4.35,19.895925176432296,21.484956683127738,0.4350000000000001,13.3,16,16,0
7,proxy7,2.68,23.738999830496606,18.199211421615264,0.268,12.5,11,11,0
8,proxy8,3.02,21.0638019626138,17.031218027338834,0.30200000000000005,12.7,11,11,0
9,proxy9,66.12704464477041,18.131063597132048,72.98362940519286,74.53948476375989,49.72066894805505,10,10,1
10,proxy10,2.7600000000000002,28.61520110286045,16.280360115177857,0.276,12.3,12,12,0
