id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,53.5,0.88,13.48,2.26,22.84,9.25,14,0
2,proxy2,0.97,1.27,0.85,1.02,1.0,0.88,7,0
3,proxy3,0.62,1.24,0.67,0.64,0.99,0.75,6,0
4,proxy4,0.46,0.68,0.75,0.49,0.99,0.62,5,0
5,proxy5,0.76,1.23,0.74,0.8,1.0,0.88,7,0
6,proxy6,1.11,0.93,1.11,1.16,1.01,1.12,9,0
7,proxy7,1.03,0.77,1.3,1.08,1.0,1.12,9,0
8,proxy8,15.97,1.0,4.12,0.84,6.12,3.25,6,0
9,proxy9,24.77,1.18,4.49,0.33,10.08,2.75,2,0
10,proxy10,0.7,0.83,1.22,0.74,1.0,0.62,5,0
11,proxy11,1.05,0.75,0.98,1.1,1.0,0.88,7,0
12,proxy12,0.67,0.88,1.13,0.7,1.0,0.88,7,0
13,proxy13,0.6,0.97,0.68,0.63,1.0,0.75,6,0
14,proxy14,0.73,0.84,0.73,0.77,0.99,0.75,6,0
15,proxy15,0.73,0.66,1.02,0.77,1.0,0.88,7,0
16,proxy16,21.47,0.94,6.86,0.98,9.77,3.25,6,0
17,proxy17,18.82,1.27,6.15,1.27,9.02,3.5,8,0
18,proxy18,1.48,1.05,0.99,1.54,1.0,1.38,11,0
19,proxy19,2.15,1.23,0.91,2.25,1.03,2.0,16,0
20,proxy20,0.21,1.26,1.18,0.21,0.99,0.38,3,0
21,proxy21,1.21,0.85,0.76,1.27,1.0,1.12,9,0
22,proxy22,0.36,0.74,0.68,0.38,0.98,0.38,3,0
23,proxy23,21.13,1.24,4.9,1.65,10.15,3.88,11,0
24,proxy24,0.77,1.02,1.17,0.8,1.0,1.0,8,0
25,proxy25,0.83,1.0,1.01,0.87,1.0,1.0,8,0
26,proxy26,0.91,0.97,0.9,0.95,1.0,1.12,9,0
27,proxy27,0.74,1.15,0.92,0.77,0.99,0.75,6,0
28,proxy28,0.57,0.7,1.25,0.6,1.0,0.62,5,0
29,proxy29,0.42,0.89,1.1,0.44,0.99,0.62,5,0
30,proxy30,1.07,1.12,0.66,1.12,1.01,1.12,9,0
31,proxy31,1.36,1.24,0.72,1.43,1.0,1.5,12,0
32,proxy32,1.01,0.99,1.26,1.05,1.0,1.12,9,0
33,proxy33,0.7,0.97,1.04,0.73,0.99,0.88,7,0
34,proxy34,17.67,1.21,5.98,1.09,7.02,3.62,9,0
35,proxy35,1.21,1.17,0.84,1.26,1.01,1.25,10,0
36,proxy36,0.95,0.67,0.76,1.0,1.01,1.38,11,0
37,proxy37,23.87,1.28,5.35,1.95,9.46,3.88,11,0
38,proxy38,0.44,0.77,0.85,0.46,0.99,0.5,4,0
39,proxy39,1.06,1.17,1.14,1.1,1.0,1.0,8,0
40,proxy40,0.61,0.85,1.25,0.63,0.99,0.62,5,0
41,proxy41,1.33,1.27,0.74,1.39,1.01,1.38,11,0
42,proxy42,1.54,0.82,0.79,1.61,1.01,1.38,11,0
43,proxy43,1.79,0.99,1.01,1.87,1.0,1.38,11,0
44,proxy44,0.72,0.71,1.05,0.75,0.99,0.75,6,0
45,proxy45,0.68,0.77,0.66,0.71,1.0,0.88,7,0
46,proxy46,0.62,1.25,1.29,0.64,1.0,0.75,6,0
47,proxy47,1.31,1.15,0.99,1.37,1.01,1.38,11,0
48,proxy48,1.29,1.24,1.17,1.35,1.01,1.38,11,0
49,proxy49,0.33,1.12,1.12,0.35,1.0,0.5,4,0
50,proxy50,19.39,0.98,6.33,1.36,10.59,3.62,9,0
51,proxy51,0.75,1.2,0.71,0.78,1.0,0.75,6,0
52,proxy52,1.06,0.82,0.66,1.1,1.0,1.25,10,0
53,proxy53,1.3,1.03,0.89,1.36,0.99,0.75,6,0
54,proxy54,0.33,1.0,0.93,0.34,0.99,0.38,3,0
55,proxy55,0.86,1.2,1.1,0.9,1.0,0.88,7,0
56,proxy56,0.73,1.17,0.74,0.76,0.99,0.75,6,0
57,proxy57,24.07,1.04,4.68,1.14,10.57,3.88,11,0
58,proxy58,0.78,1.23,1.15,0.81,1.0,0.75,6,0
59,proxy59,0.7,1.19,0.7,0.74,0.99,0.88,7,0
60,proxy60,1.11,0.83,0.97,1.17,1.01,1.12,9,0
61,proxy61,0.53,0.98,0.96,0.55,0.99,0.62,5,0
62,proxy62,19.34,1.26,6.82,1.3,9.56,3.75,10,0
63,proxy63,1.35,0.66,1.25,1.42,1.0,1.25,10,0
64,proxy64,0.02,0.98,0.88,0.03,0.98,0.12,1,0
65,proxy65,1.49,1.06,0.89,1.55,1.01,1.38,11,0
66,proxy66,0.96,0.78,0.97,1.0,1.0,0.88,7,0
67,proxy67,1.8,1.0,1.21,1.88,1.01,1.75,14,0
68,proxy68,0.86,1.06,1.23,0.9,1.0,1.25,10,0
69,proxy69,0.88,0.96,0.84,0.92,1.01,1.0,8,0
70,proxy70,1.44,1.06,1.25,1.5,1.01,1.25,10,0
71,proxy71,1.13,0.85,0.82,1.18,1.0,1.38,11,0
72,proxy72,0.7,0.74,0.97,0.74,1.0,1.0,8,0
73,proxy73,1.19,0.85,0.87,1.24,1.01,1.38,11,0
74,proxy74,1.12,1.11,1.28,1.18,1.0,1.0,8,0
75,proxy75,1.06,0.84,0.83,1.1,1.0,0.88,7,0
76,proxy76,1.59,1.06,1.02,1.67,1.0,1.25,10,0
77,proxy77,0.87,1.01,1.2,0.91,1.01,0.88,7,0
78,proxy78,21.43,0.96,5.22,1.44,8.76,3.62,9,0
79,proxy79,1.31,1.13,0.78,1.37,1.0,1.0,8,0
80,proxy80,0.67,0.75,0.73,0.7,1.0,0.62,5,0
81,proxy81,0.53,0.74,1.06,0.55,0.99,0.5,4,0
82,proxy82,1.29,1.02,0.8,1.35,1.01,1.12,9,0
83,proxy83,1.16,0.96,0.87,1.21,1.0,1.12,9,0
84,proxy84,23.43,0.75,7.17,0.98,9.31,3.75,10,0
85,proxy85,0.96,0.79,1.1,1.0,1.0,0.88,7,0
86,proxy86,0.87,0.72,0.79,0.91,0.99,0.75,6,0
87,proxy87,0.82,0.89,1.01,0.86,1.0,0.88,7,0
88,proxy88,0.99,1.25,0.67,1.04,1.0,0.88,7,0
89,proxy89,16.82,0.82,7.09,2.25,6.36,4.25,14,0
90,proxy90,1.47,1.18,0.73,1.54,1.0,1.12,9,0
91,proxy91,1.23,1.25,1.21,1.29,1.01,1.38,11,0
92,proxy92,0.63,1.04,1.08,0.66,1.0,0.88,7,0
93,proxy93,0.79,0.66,0.98,0.82,1.0,0.88,7,0
94,proxy94,1.19,1.15,1.13,1.25,1.01,1.38,11,0
