id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.09,1.11,1.06,1.09,1.0,1.14,8,0
2,proxy2,0.61,1.1,0.86,0.61,0.99,0.86,6,0
3,proxy3,0.2,0.92,0.61,0.2,0.99,0.57,4,0
4,proxy4,50.77,0.97,8.45,1.47,15.35,6.86,8,0
5,proxy5,1.04,0.67,1.13,1.04,1.0,1.29,9,0
6,proxy6,0.32,0.66,1.0,0.32,0.99,0.43,3,0
7,proxy7,1.22,1.25,0.72,1.22,1.0,1.14,8,0
8,proxy8,5.3,1.01,4.64,1.38,9.25,4.0,8,0
9,proxy9,0.95,1.08,1.09,0.95,1.0,0.86,6,0
10,proxy10,0.96,1.04,0.92,0.96,1.0,0.86,6,0
11,proxy11,7.22,0.66,0.92,7.22,0.99,0.86,6,1
12,proxy12,0.75,0.99,0.9,0.75,0.99,0.71,5,0
13,proxy13,1.52,1.15,1.0,1.52,1.0,1.57,11,0
14,proxy14,1.25,0.91,0.84,1.25,1.01,1.29,9,0
15,proxy15,0.55,0.75,1.04,0.55,0.98,0.43,3,0
