id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.0,0.99,0.76,1.08,1.0,1.0,7,0
2,proxy2,28.03,1.03,4.5,1.31,9.84,3.71,6,0
3,proxy3,0.88,0.59,0.97,0.95,0.99,1.0,7,0
4,proxy4,4.89,1.03,5.79,1.05,7.2,3.86,7,0
5,proxy5,1.75,0.61,0.78,1.88,1.01,1.71,12,0
6,proxy6,1.0,1.09,0.66,1.08,1.0,1.0,7,0
7,proxy7,0.54,1.14,0.77,0.58,0.99,0.71,5,0
8,proxy8,1.63,0.76,1.1,1.75,1.0,1.14,8,0
9,proxy9,23.17,0.84,6.3,0.88,8.01,3.86,7,0
10,proxy10,0.35,1.16,1.03,0.38,0.99,0.43,3,0
11,proxy11,7.22,0.6,1.27,7.77,0.99,0.86,6,1
12,proxy12,1.02,0.95,1.11,1.09,1.01,1.29,9,0
13,proxy13,0.62,1.01,0.92,0.67,1.0,0.86,6,0
14,proxy14,0.86,0.92,1.32,0.92,1.0,0.71,5,0
15,proxy15,0.59,1.03,0.92,0.63,0.99,0.71,5,0
