id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.83,0.96,0.81,0.83,1.0,1.0,13,0
2,proxy2,1.68,1.15,0.79,1.68,1.01,1.31,17,0
3,proxy3,1.51,0.62,1.2,1.51,1.0,1.31,17,0
4,proxy4,1.26,1.12,0.79,1.26,1.01,1.31,17,0
5,proxy5,1.08,1.11,0.83,1.08,1.0,0.92,12,0
6,proxy6,0.45,1.04,0.89,0.45,0.97,0.46,6,0
7,proxy7,0.84,0.76,1.18,0.84,1.0,0.92,12,0
8,proxy8,1.05,1.06,1.0,1.05,1.0,1.15,15,0
9,proxy9,0.85,1.16,1.0,0.85,0.99,0.85,11,0
10,proxy10,1.78,1.17,0.69,1.78,1.01,1.54,20,0
11,proxy11,0.95,0.96,1.09,0.95,1.0,1.0,13,0
12,proxy12,1.21,0.87,1.09,1.21,1.01,1.31,17,0
13,proxy13,0.85,0.92,1.1,0.85,1.0,0.77,10,0
14,proxy14,0.87,0.94,1.11,0.87,0.99,0.85,11,0
15,proxy15,22.21,0.63,3.59,186.46,5.31,0.69,9,1
