id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,3.23,1.03,0.74,3.23,0.99,1.12,29,1
2,proxy2,0.66,1.04,0.96,0.66,0.98,0.62,16,0
3,proxy3,1.32,0.69,1.05,1.32,1.02,1.08,28,0
4,proxy4,1.02,1.1,1.07,1.02,1.0,1.15,30,0
5,proxy5,1.19,0.68,0.89,1.19,1.01,1.23,32,0
6,proxy6,5.41,0.79,0.74,5.41,1.02,1.27,33,1
7,proxy7,0.91,0.94,1.04,0.91,0.99,0.81,21,0
8,proxy8,3.21,0.72,0.64,3.21,1.03,1.23,32,1
9,proxy9,1.14,1.02,0.82,1.14,1.02,1.19,31,0
10,proxy10,2.82,0.66,0.61,2.82,1.0,0.85,22,1
11,proxy11,0.61,1.0,1.03,0.61,0.98,0.62,16,0
12,proxy12,0.97,0.97,1.03,0.97,1.0,0.92,24,0
13,proxy13,0.98,1.0,0.81,0.98,1.0,1.12,29,0
14,proxy14,1.03,1.17,1.18,1.03,0.99,0.92,24,0
15,proxy15,11.41,0.73,0.86,11.41,1.0,0.88,23,1
16,proxy16,0.74,0.85,0.97,0.74,1.0,0.85,22,0
17,proxy17,5.14,1.02,0.98,5.14,0.97,0.69,18,1
18,proxy18,2.47,0.71,0.77,2.47,0.99,0.73,19,1
19,proxy19,5.72,1.09,0.92,5.72,0.98,0.88,23,1
20,proxy20,1.26,1.16,0.97,1.26,1.0,1.08,28,0
