id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,2.22,0.99,2.72,1.14,3.6,1.85,36,0
2,proxy2,0.95,0.9,0.84,0.99,0.96,0.73,30,0
3,proxy3,2.01,0.8,3.21,1.0,5.78,1.83,35,0
4,proxy4,2.43,1.08,2.43,1.4,4.53,1.98,41,0
5,proxy5,1.22,1.01,1.39,0.86,3.36,1.1,25,0
6,proxy6,0.88,1.06,1.0,0.91,0.96,0.73,30,0
7,proxy7,1.33,1.25,1.68,1.08,2.89,1.29,33,0
8,proxy8,0.85,1.16,0.79,0.88,0.97,0.76,31,0
9,proxy9,0.7,0.9,0.93,0.72,0.98,0.73,30,0
10,proxy10,1.0,0.93,0.95,1.04,0.97,0.76,31,0
11,proxy11,0.99,1.09,0.64,1.03,0.97,0.83,34,0
12,proxy12,2.36,0.71,3.86,1.28,6.14,2.49,42,0
13,proxy13,0.9,0.73,2.28,0.64,2.22,1.12,26,0
14,proxy14,1.35,1.0,0.6,1.41,1.0,1.0,41,0
15,proxy15,0.92,1.05,0.62,0.95,0.98,0.85,35,0
