id,normal,direct,slow,steal
129.40.176.52,1,0,0,0
246.183.8.103,1,0,0,0
116.118.18.15,1,0,0,0
203.253.29.109,1,0,0,0
186.70.58.140,1,0,0,0
170.188.190.226,1,0,0,0
95.137.84.98,1,0,0,0
212.87.206.79,1,0,0,0
222.247.191.26,1,0,0,0
81.33.178.139,1,0,0,0
7.163.210.121,1,0,0,0
47.29.233.25,1,0,0,0
121.203.238.63,1,0,0,0
162.229.50.92,1,0,0,0
5.169.8.131,1,0,0,0
164.20.72.230,1,0,0,0
86.144.66.38,1,0,0,0
246.233.55.107,1,0,0,0
67.47.215.249,1,0,0,0
159.144.139.245,1,0,0,0
195.218.203.189,1,0,0,0
27.71.200.34,1,0,0,0
69.108.222.176,1,0,0,0
232.39.25.251,1,0,0,0
201.191.10.230,1,0,0,0
36.5.188.57,1,0,0,0
109.8.61.106,1,0,0,0
230.210.213.60,1,0,0,0
176.165.97.55,1,0,0,0
35.34.144.141,1,0,0,0
173.74.143.215,1,0,0,0
82.201.125.211,1,0,0,0
96.242.49.84,1,0,0,0
252.127.133.126,1,0,0,0
75.93.65.111,1,0,0,0
44.156.197.164,1,0,0,0
1.154.98.195,1,0,0,0
191.95.224.16,1,0,0,0
154.69.183.10,1,0,0,0
189.148.177.135,1,0,0,0
198.108.37.75,1,0,0,0
45.29.198.129,1,0,0,0
195.243.220.54,1,0,0,0
247.202.230.234,1,0,0,0
199.67.218.199,0,0,1,0
110.58.255.157,1,0,0,0
103.57.247.6,1,0,0,0
177.19.220.92,1,0,0,0
83.61.230.245,1,0,0,0
12.219.222.90,1,0,0,0
91.135.41.42,1,0,0,0
119.10.194.197,1,0,0,0
91.13.35.87,1,0,0,0
138.232.176.209,1,0,0,0
167.233.47.59,1,0,0,0
155.243.169.9,1,0,0,0
8.246.124.228,1,0,0,0
219.193.225.52,1,0,0,0
111.172.103.70,1,0,0,0
101.199.120.153,1,0,0,0
106.18.189.122,1,0,0,0
175.165.247.230,1,0,0,0
105.56.168.134,1,0,0,0
248.37.205.92,1,0,0,0
227.82.230.125,1,0,0,0
23.207.160.43,1,0,0,0
205.254.78.227,1,0,0,0
245.53.193.162,1,0,0,0
62.88.101.62,1,0,0,0
143.190.58.44,1,0,0,0
118.19.61.83,1,0,0,0
14.236.34.84,1,0,0,0
148.32.161.228,1,0,0,0
70.32.159.249,1,0,0,0
33.177.17.9,0,0,1,0
68.175.63.88,1,0,0,0
49.150.156.213,1,0,0,0
180.93.217.119,1,0,0,0
98.52.233.215,1,0,0,0
55.195.184.92,1,0,0,0
102.149.233.76,1,0,0,0
47.197.124.76,1,0,0,0
55.74.119.84,1,0,0,0
2.71.110.4,1,0,0,0
162.52.122.47,0,0,1,0
114.29.65.65,1,0,0,0
197.81.5.254,1,0,0,0
110.188.209.71,1,0,0,0
195.120.68.96,1,0,0,0
96.222.136.114,1,0,0,0
84.104.144.119,1,0,0,0
156.28.20.48,1,0,0,0
186.26.60.160,1,0,0,0
84.215.245.164,1,0,0,0
240.112.109.207,1,0,0,0
46.54.67.152,1,0,0,0
238.83.201.181,1,0,0,0
96.39.230.228,1,0,0,0
61.157.219.34,1,0,0,0
152.87.56.180,1,0,0,0
