id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.01,1.19,1.18,1.01,1.0,1.09,6,0
2,proxy2,1.36,1.09,1.01,1.36,1.0,1.09,6,0
3,proxy3,1.29,0.74,1.14,1.29,1.0,1.09,6,0
4,proxy4,0.78,1.28,1.15,0.78,1.0,0.73,4,0
5,proxy5,0.75,1.04,1.04,0.75,1.0,0.55,3,0
6,proxy6,1.64,0.71,0.78,1.64,1.0,1.27,7,0
7,proxy7,0.6,0.8,0.88,0.6,1.0,0.73,4,0
8,proxy8,0.92,1.25,0.85,0.92,1.0,0.73,4,0
9,proxy9,0.51,0.65,0.99,0.51,0.99,0.55,3,0
10,proxy10,1.06,0.83,1.11,1.06,1.01,1.09,6,0
11,proxy11,1.45,1.17,1.12,1.45,1.0,1.09,6,0
12,proxy12,0.99,1.1,0.83,0.99,1.0,0.91,5,0
13,proxy13,0.63,1.24,0.94,0.63,1.0,0.91,5,0
14,proxy14,1.34,1.23,1.14,1.34,1.0,1.09,6,0
15,proxy15,1.64,0.99,0.88,1.64,1.0,1.45,8,0
16,proxy16,0.0,0.95,1.15,0.0,0.99,0.0,0,0
17,proxy17,0.45,1.01,0.69,0.45,0.99,0.36,2,0
18,proxy18,0.68,0.82,1.01,0.68,1.0,0.73,4,0
19,proxy19,1.3,0.82,0.64,1.3,1.01,1.45,8,0
20,proxy20,1.65,0.82,0.82,1.65,1.0,1.27,7,0
