id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,12.02,0.63,1.0,12.02,1.0,1.5,9,1
2,proxy2,55.62,0.93,3.64,420.62,4.98,1.33,8,1
3,proxy3,1.27,0.63,1.04,1.27,1.0,1.33,8,0
4,proxy4,1.34,0.87,0.84,1.34,1.01,1.0,6,0
5,proxy5,1.31,1.18,1.38,1.31,1.0,1.5,9,0
6,proxy6,7.41,0.85,1.09,7.41,1.01,1.67,10,1
7,proxy7,1.14,1.09,1.24,1.14,1.01,1.33,8,0
8,proxy8,0.89,1.09,0.94,0.89,1.0,0.67,4,0
9,proxy9,1.23,0.86,0.83,1.23,1.0,1.17,7,0
10,proxy10,0.63,0.75,1.27,0.63,1.0,1.17,7,0
11,proxy11,0.79,1.13,0.89,0.79,1.0,0.83,5,0
12,proxy12,0.47,1.09,0.98,0.47,0.99,0.67,4,0
13,proxy13,1.11,1.05,1.02,1.11,1.0,1.0,6,0
14,proxy14,0.87,0.95,1.53,0.87,1.0,1.0,6,0
15,proxy15,0.51,0.89,0.96,0.51,1.0,0.5,3,0
