id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,8.05,14.83499244062808,24.808204447870533,0.325,38.52415231224926,116,16,1
2,proxy2,1.29,13.996933776965644,15.380053474129584,0.129,11.4,7,7,0
3,proxy3,6.57,23.74720617162696,35.20289507718332,0.257,40.44782345447193,109,9,1
4,proxy4,7.83,25.00852214113945,21.622838383406602,0.313,29.335958372109985,112,12,1
5,proxy5,4.9399999999999995,28.10722822551113,15.781073035575327,0.49400000000000005,14.2,15,15,0
6,proxy6,6.100000000000001,15.346725273063175,31.139047663435186,0.39999999999999997,32.35047059025953,118,18,1
7,proxy7,3.6899999999999995,13.1124293843721,22.378779399462918,0.36900000000000005,12.7,12,12,0
8,proxy8,3.0800000000000005,29.760744444306276,26.8119763268748,0.30800000000000005,13.0,12,12,0
9,proxy9,3.1599999999999997,20.954114993921404,17.619396399498342,0.31600000000000006,14.400000000000002,17,17,0
10,proxy10,2.4200000000000004,11.86080818657991,29.163428513703188,0.24200000000000005,14.2,14,14,0
11,proxy11,9.6,17.32375609107209,35.48990701807017,0.63,42.04441568304577,121,21,1
12,proxy12,4.27,20.45189486437117,12.780645093600848,0.4270000000000001,13.4,18,18,0
13,proxy13,1.88,23.081785904819757,26.464149054780385,0.188,13.6,11,11,0
14,proxy14,4.65,26.579830232680273,28.821412427368717,0.46499999999999997,13.1,14,14,0
15,proxy15,5.359999999999999,28.551996376397035,21.78634716321618,0.5360000000000001,14.6,19,19,0
16,proxy16,9.350000000000001,30.00400568503613,31.57736520044284,0.46499999999999997,33.20186149615522,113,13,1
17,proxy17,8.54,22.35236023536636,42.84189149022282,0.414,24.830657951916834,114,14,1
18,proxy18,5.76,12.633744357605327,39.22272743184783,0.22600000000000003,24.854335681971122,111,11,1
19,proxy19,11.260000000000002,17.464339912785427,82.45078383596058,0.47600000000000003,67.760573170033,217,17,1
20,proxy20,8.91,18.0595936364176,43.70687406524006,0.46099999999999997,38.89526351922651,114,14,1
21,proxy21,8.959999999999999,11.40184382278697,49.701936812205076,0.376,64.57027800313313,214,14,1
22,proxy22,4.3500000000000005,14.552632330791486,22.032748099702864,0.435,14.3,16,16,0
23,proxy23,7.08,28.46237932775952,33.15435029174518,0.368,26.378984384410863,117,17,1
24,proxy24,3.7199999999999998,18.821442581588773,23.49215921932259,0.37200000000000005,13.2,14,14,0
25,proxy25,3.67,24.01144793411327,27.20153895671855,0.367,11.9,12,12,0
26,proxy26,3.3600000000000003,18.003995179074252,23.93140999875425,0.336,12.8,12,12,0
27,proxy27,3.52,11.575376954666146,27.33347426160407,0.35200000000000004,12.3,14,14,0
28,proxy28,9.509999999999998,18.403909715336717,32.23900990561506,0.5510000000000003,44.25288908498662,120,20,1
29,proxy29,18.1,14.338343231355882,100,0.52,100,419,19,1
30,proxy30,4.560000000000001,14.908852832414992,29.325006709978823,0.45600000000000007,14.3,17,17,0
31,proxy31,2.4599999999999995,20.625550808462346,26.584112010109912,0.24600000000000002,12.9,11,11,0
32,proxy32,2.7900000000000005,15.942025508899704,20.214235337356175,0.279,12.600000000000001,11,11,0
33,proxy33,2.7600000000000002,22.3835952098316,21.55167303069762,0.276,12.4,13,13,0
34,proxy34,3.45,14.374707261019761,10.58664238813745,0.345,13.100000000000001,14,14,0
35,proxy35,3.0700000000000003,21.042039914252484,11.408171506849463,0.307,13.2,12,12,0
