id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.44,1.1,1.0,1.46,1.0,1.21,17,0
2,proxy2,1.36,0.99,1.34,1.38,1.01,1.14,16,0
3,proxy3,0.48,0.94,1.07,0.49,0.98,0.64,9,0
4,proxy4,1.24,1.21,0.88,1.26,1.0,1.36,19,0
5,proxy5,0.85,1.22,1.37,0.86,1.0,1.0,14,0
6,proxy6,0.78,1.06,0.71,0.79,0.99,0.71,10,0
7,proxy7,0.7,1.1,1.4,0.7,0.99,0.64,9,0
8,proxy8,1.31,0.65,0.9,1.32,1.01,1.07,15,0
9,proxy9,1.0,0.76,1.2,1.01,1.0,1.0,14,0
10,proxy10,24.94,1.19,4.12,239.27,4.09,1.21,17,1
11,proxy11,0.66,0.93,0.8,0.66,1.0,0.86,12,0
12,proxy12,40.65,0.7,8.64,196.71,13.18,2.57,16,1
13,proxy13,0.77,1.15,1.34,0.78,0.99,0.79,11,0
14,proxy14,0.7,0.91,1.05,0.7,0.99,0.57,8,0
15,proxy15,1.0,0.72,1.3,1.02,1.01,0.93,13,0
16,proxy16,1.39,0.74,0.74,1.41,1.0,1.07,15,0
17,proxy17,23.09,0.86,3.1,214.72,4.19,1.07,15,1
18,proxy18,0.83,1.0,0.83,0.84,1.0,0.79,11,0
19,proxy19,16.25,0.75,6.56,0.88,9.32,2.21,11,0
20,proxy20,21.99,0.78,3.25,157.41,5.72,1.43,20,1
21,proxy21,20.82,0.87,4.01,177.99,4.4,1.36,19,1
22,proxy22,1.18,1.0,0.85,1.19,0.99,1.0,14,0
23,proxy23,23.59,1.04,4.19,157.62,4.82,1.14,16,1
24,proxy24,0.99,1.12,1.18,1.0,1.0,0.86,12,0
25,proxy25,0.41,0.93,0.95,0.41,0.97,0.43,6,0
26,proxy26,0.61,1.16,0.8,0.62,1.01,1.0,14,0
27,proxy27,15.21,1.13,5.62,1.69,8.37,3.0,22,0
28,proxy28,1.41,0.95,1.21,1.42,1.0,1.21,17,0
29,proxy29,0.85,1.04,0.81,0.86,0.99,0.86,12,0
30,proxy30,0.98,1.23,0.79,0.99,1.0,0.86,12,0
31,proxy31,36.82,0.97,7.73,417.49,9.64,1.07,15,1
32,proxy32,1.34,0.67,0.84,1.35,1.01,1.29,18,0
33,proxy33,31.64,1.19,8.64,225.96,13.42,2.86,20,1
34,proxy34,12.23,0.62,5.45,1.48,6.78,2.5,15,0
35,proxy35,1.35,1.03,0.75,1.37,1.01,1.14,16,0
