id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.68,0.84,1.07,1.68,1.0,1.25,5,0
2,proxy2,0.6,0.87,0.97,0.6,0.99,0.5,2,0
3,proxy3,0.98,0.99,1.13,0.98,0.99,0.75,3,0
4,proxy4,1.88,1.27,1.0,1.88,1.01,1.5,6,0
5,proxy5,0.74,0.87,0.64,0.74,1.0,1.0,4,0
6,proxy6,0.87,1.22,0.78,0.87,1.0,1.75,7,0
7,proxy7,0.63,1.13,0.9,0.63,0.99,0.5,2,0
8,proxy8,1.02,1.11,1.0,1.02,1.0,0.75,3,0
9,proxy9,1.45,1.16,0.64,1.45,1.0,1.0,4,0
10,proxy10,0.77,0.9,0.99,0.77,1.0,1.0,4,0
11,proxy11,1.04,0.7,1.1,1.04,1.0,1.0,4,0
12,proxy12,0.64,0.7,0.87,0.64,1.0,0.75,3,0
13,proxy13,4.61,1.07,0.98,4.61,1.03,3.25,13,0
14,proxy14,2.04,0.9,1.2,2.04,1.0,1.5,6,0
15,proxy15,0.31,0.81,1.0,0.31,0.99,0.5,2,0
16,proxy16,1.92,1.19,0.9,1.92,1.01,2.25,9,0
17,proxy17,0.91,1.01,1.12,0.91,0.99,0.75,3,0
18,proxy18,2.67,0.74,1.18,2.67,1.01,2.5,10,0
19,proxy19,0.84,1.29,1.15,0.84,1.0,0.75,3,0
20,proxy20,1.18,1.09,1.08,1.18,1.0,1.75,7,0
