id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,1.7400000000000002,28.517471388634263,25.06884950786131,0.17400000000000002,11.7,8,8,0
2,proxy2,2.84,18.75832200862204,14.038308590640513,0.2840000000000001,15.0,15,15,0
3,proxy3,80.98419972476967,19.250315649978518,67.11172628780369,54.232874630182515,42.82062252001885,8,8,1
4,proxy4,2.8200000000000003,23.894838023781713,14.241464441006086,0.28200000000000003,12.0,12,12,0
5,proxy5,70.67653531451953,13.179880888415125,60.554880017375595,66.59334764367026,54.449971632495505,12,12,1
6,proxy6,3.12,21.32499155369675,21.173240716227106,0.312,13.5,13,13,0
7,proxy7,4.36,12.177279588456416,26.09105767621158,0.4360000000000001,14.3,17,17,0
8,proxy8,3.5500000000000003,14.964991122719429,24.825090888610237,0.355,12.100000000000001,13,13,0
9,proxy9,1.8700000000000003,12.072871728327506,11.488578172659608,0.18700000000000003,12.4,8,8,0
10,proxy10,4.7299999999999995,29.395830027882496,27.799914795878326,0.47300000000000003,15.399999999999999,19,19,0
11,proxy11,2.42,11.317998812666593,16.836154528996328,0.24200000000000005,13.6,10,10,0
12,proxy12,3.52,23.55961244914635,13.410666093090562,0.35200000000000004,13.200000000000001,12,12,0
13,proxy13,1.9100000000000001,20.775748790756477,20.96250114585795,0.191,12.0,8,8,0
14,proxy14,68.26237589818356,13.126102726217175,63.460963489986824,64.39963943018205,47.920384034608695,20,20,1
15,proxy15,2.31,21.3880312883436,25.89630001587263,0.231,12.1,12,12,0
16,proxy16,2.25,23.371227581760046,26.08054981427271,0.225,12.8,10,10,0
17,proxy17,4.4399999999999995,15.49225222917472,23.485544200705775,0.44400000000000006,13.100000000000001,17,17,0
18,proxy18,3.62,19.13073217653822,29.157395040032526,0.362,14.1,14,14,0
19,proxy19,2.17,28.562101744124675,19.75640465320862,0.217,11.9,9,9,0
20,proxy20,3.5700000000000007,19.236068736881872,19.32028531070554,0.3570000000000001,13.3,12,12,0
21,proxy21,70.5633839095936,25.028872350263487,48.51271749320033,79.66170321355376,44.50327953517546,15,15,1
22,proxy22,1.69,13.778552568517554,29.673018690813155,0.16900000000000004,11.6,7,7,0
23,proxy23,2.7,26.337368636342756,19.85768624142659,0.27,12.9,12,12,0
24,proxy24,1.94,17.57215196926039,11.288977711292615,0.194,12.0,7,7,0
25,proxy25,3.27,11.42968991977306,27.745995089007714,0.327,13.0,11,11,0
26,proxy26,1.5400000000000003,25.28205698560582,20.98005239641778,0.154,11.7,8,8,0
27,proxy27,1.3599999999999999,12.916777124311423,27.124856368383924,0.136,11.3,7,7,0
28,proxy28,1.9500000000000002,16.56966145278015,14.58432520357402,0.19499999999999998,11.5,7,7,0
29,proxy29,2.5,18.61847077816213,12.705051713338472,0.25,13.100000000000001,14,14,0
30,proxy30,1.92,10.329320467517796,13.837130965407326,0.192,11.1,8,8,0
31,proxy31,3.19,20.89205924839183,18.32648377441517,0.31900000000000006,13.2,14,14,0
32,proxy32,2.1799999999999997,29.411998824418465,13.48997890910638,0.21800000000000003,12.5,11,11,0
33,proxy33,2.3800000000000003,21.996656591651064,19.523020703019608,0.23800000000000002,12.9,13,13,0
34,proxy34,1.75,14.42831070242394,11.802560787651688,0.17500000000000002,12.0,7,7,0
35,proxy35,2.04,20.65586950986855,17.612605830754163,0.20400000000000001,12.5,10,10,0
