id,normal,direct,slow,steal
23.214.223.40,1,0,0,0
13.108.235.89,1,0,0,0
190.145.81.194,1,0,0,0
93.76.22.111,1,0,0,0
155.184.173.123,1,0,0,0
181.131.56.215,1,0,0,0
93.3.158.42,1,0,0,0
74.113.244.200,1,0,0,0
57.153.93.190,1,0,0,0
96.46.211.60,1,0,0,0
247.42.115.219,1,0,0,0
53.185.236.35,1,0,0,0
7.122.197.185,1,0,0,0
242.89.198.178,1,0,0,0
150.75.223.82,1,0,0,0
223.149.36.69,1,0,0,0
62.20.180.250,1,0,0,0
110.211.201.51,1,0,0,0
37.133.146.77,1,0,0,0
125.80.238.210,1,0,0,0
193.191.92.122,1,0,0,0
157.8.177.46,1,0,0,0
95.203.131.33,1,0,0,0
221.110.241.201,1,0,0,0
8.44.19.218,1,0,0,0
228.133.22.184,1,0,0,0
84.47.71.171,1,0,0,0
141.124.70.199,1,0,0,0
110.243.29.239,1,0,0,0
13.90.114.136,1,0,0,0
181.171.200.158,1,0,0,0
159.85.54.96,1,0,0,0
104.219.3.46,1,0,0,0
149.186.110.14,1,0,0,0
111.56.147.243,1,0,0,0
36.200.207.11,1,0,0,0
8.41.249.197,1,0,0,0
64.161.55.77,1,0,0,0
204.111.7.77,1,0,0,0
8.6.65.39,1,0,0,0
120.184.11.117,1,0,0,0
192.186.120.149,1,0,0,0
251.30.3.6,1,0,0,0
168.194.189.52,1,0,0,0
99.54.119.211,1,0,0,0
82.88.180.115,1,0,0,0
103.159.11.142,1,0,0,0
193.49.141.23,1,0,0,0
164.253.191.219,1,0,0,0
86.147.215.80,1,0,0,0
174.189.13.122,1,0,0,0
105.144.209.142,1,0,0,0
52.137.238.180,1,0,0,0
26.81.161.54,1,0,0,0
90.101.78.12,1,0,0,0
82.207.9.31,1,0,0,0
224.30.87.198,1,0,0,0
239.38.57.208,1,0,0,0
138.252.159.168,1,0,0,0
124.27.166.172,1,0,0,0
228.188.11.142,1,0,0,0
68.99.243.4,1,0,0,0
223.51.230.72,0,0,1,0
91.14.118.90,1,0,0,0
37.56.164.229,0,0,1,0
196.96.23.113,1,0,0,0
241.48.251.23,1,0,0,0
141.152.51.147,1,0,0,0
65.18.151.220,1,0,0,0
74.182.220.20,1,0,0,0
108.185.106.187,1,0,0,0
9.110.10.45,1,0,0,0
199.23.61.203,1,0,0,0
195.228.30.235,1,0,0,0
176.105.122.218,1,0,0,0
119.60.34.109,1,0,0,0
154.82.8.170,0,0,1,0
221.152.88.209,1,0,0,0
119.102.196.38,1,0,0,0
88.109.76.238,1,0,0,0
87.209.45.133,1,0,0,0
176.218.41.234,1,0,0,0
151.154.101.139,1,0,0,0
247.128.235.243,1,0,0,0
124.52.109.250,0,1,0,0
173.107.209.234,1,0,0,0
139.17.207.128,1,0,0,0
32.141.181.166,1,0,0,0
4.35.5.213,1,0,0,0
131.106.160.7,1,0,0,0
4.49.187.114,1,0,0,0
42.140.109.154,1,0,0,0
40.189.198.148,1,0,0,0
7.186.174.25,1,0,0,0
206.47.201.18,1,0,0,0
105.175.15.58,1,0,0,0
95.117.240.252,1,0,0,0
182.255.197.45,1,0,0,0
13.123.186.161,1,0,0,0
152.82.158.79,1,0,0,0
