id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.93,1.05,0.79,1.03,0.99,0.85,20,0
2,proxy2,0.45,1.15,1.01,0.49,0.99,0.72,17,0
3,proxy3,0.79,1.22,0.99,0.88,0.98,0.89,21,0
4,proxy4,1.45,0.94,2.05,0.97,2.86,1.62,18,0
5,proxy5,1.91,1.02,1.69,1.26,3.39,1.87,24,0
6,proxy6,0.96,0.72,0.82,1.07,1.01,0.94,22,0
7,proxy7,1.04,1.06,0.67,1.15,0.99,1.06,25,0
8,proxy8,1.61,0.96,1.36,1.14,3.7,1.87,24,0
9,proxy9,0.4,0.89,0.67,0.44,0.96,0.43,10,0
10,proxy10,1.05,0.98,1.76,0.77,3.1,1.66,19,0
