id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.02,1.21,0.78,1.02,0.99,0.95,19,0
2,proxy2,1.06,1.09,1.44,1.06,1.0,1.0,20,0
3,proxy3,1.0,0.77,1.0,1.0,1.0,1.1,22,0
4,proxy4,0.62,1.0,1.06,0.62,1.0,0.85,17,0
5,proxy5,0.93,1.09,0.8,0.93,1.0,1.0,20,0
6,proxy6,13.38,1.08,3.99,139.27,4.06,1.05,21,1
7,proxy7,1.02,0.96,1.47,1.02,1.01,1.05,21,0
8,proxy8,0.7,0.85,0.81,0.7,1.0,1.15,23,0
9,proxy9,1.19,0.73,1.42,1.19,0.99,1.2,24,0
10,proxy10,0.78,1.19,0.99,0.78,0.97,0.65,13,0
