id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,4.85,20.634497863206725,34.89173588573475,0.125,27.17376103714008,107,7,1
2,proxy2,3.34,17.549824321872457,27.430597662816922,0.3340000000000001,13.3,12,12,0
3,proxy3,0.96,11.415398489153874,20.606894274070747,0.096,11.8,7,7,0
4,proxy4,2.6300000000000003,16.63406943936247,23.126981916530628,0.263,12.8,11,11,0
5,proxy5,2.98,23.681136101134378,21.187786495760143,0.298,12.2,10,10,0
6,proxy6,1.75,19.533195370366087,12.543884129490868,0.175,11.2,5,5,0
7,proxy7,1.7300000000000002,18.745888822589613,26.37812316376799,0.17300000000000004,13.3,10,10,0
8,proxy8,2.0000000000000004,27.610736510191426,21.404448013724704,0.20000000000000004,11.600000000000001,8,8,0
9,proxy9,3.13,20.784834785918964,21.609028443907626,0.313,14.000000000000002,14,14,0
10,proxy10,4.540000000000001,29.272399196387394,56.18324128317704,0.224,35.488191527428256,109,9,1
11,proxy11,64.84661061544402,29.69501667981795,53.955418425560424,56.62257406691038,51.35467285088686,10,10,1
12,proxy12,24.31,11.848971656688569,26.214829227185902,2.430999999999999,13.7,16,16,1
13,proxy13,2.1,14.015015652016068,24.982862266884243,0.21,13.1,9,9,0
14,proxy14,1.8800000000000001,27.176978143604533,14.853745109380824,0.18800000000000003,11.5,7,7,0
15,proxy15,2.52,13.571572590018093,23.359674645642688,0.252,12.1,8,8,0
16,proxy16,5.370000000000001,27.149838589688144,37.88539122472061,0.19699999999999998,27.38011367126949,107,7,1
17,proxy17,3.2199999999999998,26.92355838513095,12.119203117559314,0.32200000000000006,14.200000000000001,13,13,0
18,proxy18,6.5,10.896944715560206,40.40692723501355,0.27,25.258534223841863,111,11,1
19,proxy19,3.97,10.665325848508132,10.15538646200974,0.3970000000000001,13.7,15,15,0
20,proxy20,3.6700000000000004,13.85080109808845,28.544617191692822,0.367,14.0,17,17,0
21,proxy21,2.81,21.81655280947189,19.97997416640791,0.281,12.3,14,14,0
22,proxy22,3.7700000000000005,22.548286643426632,17.228283600693622,0.377,13.200000000000001,11,11,0
23,proxy23,2.17,14.047157793673103,11.117578802440882,0.21700000000000003,11.7,7,7,0
24,proxy24,1.92,27.08895174776215,13.356151155748702,0.192,10.6,5,5,0
25,proxy25,2.33,12.60434321064787,22.127986466465444,0.23300000000000004,12.0,10,10,0
26,proxy26,2.22,21.096850432748486,23.61969922272658,0.22200000000000003,12.1,9,9,0
27,proxy27,7.510000000000001,23.2350591668057,34.62958092002556,0.261,28.067203028519135,111,11,1
28,proxy28,1.7800000000000002,24.576134969695634,25.07347357471354,0.17800000000000002,12.7,9,9,0
29,proxy29,2.6900000000000004,15.403671348294026,20.1147821552493,0.269,12.2,10,10,0
30,proxy30,2.4699999999999998,15.27235741667244,15.607612792443225,0.247,12.1,8,8,0
