id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.48,0.7,0.76,1.49,1.01,1.25,10,0
2,proxy2,0.47,1.1,1.22,0.47,0.99,0.5,4,0
3,proxy3,1.48,1.13,1.05,1.49,1.01,1.38,11,0
4,proxy4,25.52,0.81,6.41,1.97,6.0,4.0,12,0
5,proxy5,0.85,1.05,1.26,0.85,1.0,0.88,7,0
6,proxy6,0.85,0.94,1.09,0.86,1.0,0.88,7,0
7,proxy7,1.02,1.24,0.86,1.02,1.0,1.12,9,0
8,proxy8,2.07,0.81,0.91,2.08,1.01,1.62,13,0
9,proxy9,0.82,0.74,0.66,0.83,1.0,0.88,7,0
10,proxy10,0.69,0.74,0.64,0.69,1.0,0.88,7,0
11,proxy11,0.97,1.1,1.03,0.98,1.0,1.12,9,0
12,proxy12,1.0,1.11,0.66,1.01,1.0,0.62,5,0
13,proxy13,1.07,1.29,1.2,1.07,0.99,1.0,8,0
14,proxy14,1.4,0.71,0.79,1.41,1.02,1.5,12,0
15,proxy15,1.84,1.15,0.91,1.85,1.01,1.62,13,0
16,proxy16,0.96,0.92,1.19,0.97,1.0,1.0,8,0
17,proxy17,1.21,1.12,1.09,1.22,0.99,0.88,7,0
18,proxy18,1.37,1.21,1.0,1.38,1.0,1.25,10,0
19,proxy19,0.3,0.71,1.18,0.3,0.98,0.25,2,0
20,proxy20,0.43,1.26,1.22,0.43,0.99,0.5,4,0
21,proxy21,1.23,1.02,0.64,1.24,1.0,0.88,7,0
22,proxy22,20.13,1.24,4.28,1.59,6.85,4.0,12,0
23,proxy23,0.82,0.99,1.06,0.83,1.0,1.0,8,0
24,proxy24,1.25,1.06,1.18,1.25,1.0,0.88,7,0
25,proxy25,1.42,1.2,0.63,1.43,1.02,1.62,13,0
26,proxy26,1.17,0.71,0.64,1.18,1.0,1.0,8,0
27,proxy27,1.07,1.0,0.73,1.08,1.01,1.12,9,0
28,proxy28,1.09,1.03,1.12,1.09,1.01,0.88,7,0
29,proxy29,23.22,0.71,6.17,1.17,10.27,3.75,10,0
